krótki, streszczenie sprawy, zakres obowiązków;brief
młodzieniec;juvenile
pościg;chase
chwyt +cz;grasp
zakręt +cz, schylać się, zakole;bend
czynnik pobudzający +cz;boost
przyjemny;pleasant
przyjemność;pleasure
plaga, bicz +cz;scourge
cecha;feature
dostosować się;adapt
regulować, dopasować się;adjust
w kierunku, do;toward
żyzność, urodzajność;fertility
gruntowny, szczegółowy;thorough
ścisły, dokładny;accurate
czynnik;factor
(po)mimo, że;although
przylegający;adjoining
zwodzić kogoś;delude
rozwijać;develop
pierwszy, poprzedni;former
porównanie;simile
niegdyś, dawniej;formerly
przekrzywiony, chwiejny;wonky
przechwałka +cz;boast
rozwaga;prudence
zdumienie, cud, cudowny;wonder
rozważać 2;consider, ponder
wycieczka;excursion
odważny, śmiały (decyzja), pogrubiony (czcionka);bold
wygrzewać;bask
przez;through
ilekroć;whenever
ostateczny, ewentualny;eventual
zwykły, sam;mere
podziwiać;admire
zagadka, podziurawić, przesiać;riddle
jakoś;somehow
osiedlać się, rozstrzygać, ustalać;settle
nosze +cz;stretcher
wspaniały 2;splendid, magnificent
piękny, cudowny;exquisite
niezwykły;remarkable
spostrzeżenie, zauważyć;remark
nad, ponad, nadwyżka;over
cokolwiek;whatever
zasugerować, dać do zrozumienia;imply
pokorny, skromny, upokorzyć (rzadkie);humble
modest, demure;skromny 2
chociaż, mimo że, jednak;though
nawet;even
zawsze;ever
udawać 2;pretend, feign
uroczy, oryginalny, staroświecki;quaint
już;already
ciągle;still
jeszcze;yet
poruszenie, wymieszać, poruszać;stir
przygotowany;readied
specjalność;speciality
ulga;relief
poddenerwowanie +cz;fluster
urazić;miff
wysypisko, wyrzucać;dump
kwestia, problem;issue
przeciwieństwo 2;opposite, contrary
awanturnik, twardy, trudny;tough
zachowanie, sprawowanie, zaprowadzić (kogoś);conduct
wcześniej;prior
a zatem;thus
nadarzyć się, wynikać (formy);arise arose arisen
wróżyć, zapowiedzieć;bode
wymagać czegoś, być zamieszanym w coś;involve
poświęcić;devote
czarodziejka;sorceress
drastyczny, niecenzuralny;risque
przytulać 3;cuddle, nestle, snuggle
zboczenie, zgięcie;kink
stowarzyszenie;association
mianować, ustalić, postanowić;appoint
spotkanie, wizyta, posada;appointment
obojnaczy;androgynous
kręty;sinuous
nadzwyczajny;extraordinary
zamiast, w zamian;instead
w;into
zrozumieć (zachowanie), wymyślić;figure out
liczba;number
cyfra;digit
zrozumiały;intelligible
różnorodny, odmienny;diverse
zaopatrzenie, zapasy, dostawa +cz;supply
półka, krawędź skalna;ledge
brzeg (jakiegoś przedmiotu), obręcz;rim
brzeg, ląd, podpora +cz;shore
wykorzystywać, wyczyn;exploit
wyeksploatować;utilize
pozorny, oczywisty;apparent
wystarczający 2;adequate, sufficient
