krok, przechodzić (formy);stride strode stridden
ranić;injure
chyba że;unless
królewski;royal
niezgoda;discord
zgodność, zbieżność;concurrence
konkurencja, rywalizacja;competition
zorganizować;arrange
usprawiedliwienie, pretekst;excuse
usprawiedliwić, wyrównać;justify
melodia;tune
odwaga;courage
hart ducha 2;fortitude, pluck
serdeczny, likier, syrop;cordial
przekazywać, odnosić się;refer
potężny, wielki;mighty
walka, zmagać się, mieć trudności;struggle
śmiertelny, śmiertelnik;mortal
ktokolwiek;whoever
ustalić, decydować;determine
zniechęcić;deter
oblężenie;siege
ciągnąć, opór;drag
gromadzić się, spiętrzać;accumulate
zgromadzić się;congregate
marszczenie, zebrać, wywnioskować;gather
wpływać na coś;affect
pozostawać;remain
najwyższy, ostateczny;ultimate
albo, co więcej;either
pozostałości;remnant
reżyseria;direction
przeszkadzać, niepokoić;disturb
zagrożenie, groźba;threat
drżeć +rz;tremble
zadrżeć, trzepotać;quiver
akcyza, usuwać;excise
wzajemny(szacunek, miłość), wspólny;mutual
wzgląd, ze względu na, napój alkoholowy;sake
współczesny, rówieśnik;contemporary
brzdękać +rz;rattle
przekazywać, wyrażać (np. emocje, rozkaz);convey
pożerać;gobble
nagle;suddenly
tak czy inaczej;anyway
zwykły;ordinary
szczery, otwarty;upfront
tarcie;friction
w każdym razie;at any rate
wrzeszczeć 4;shriek, holler, bawl, clamor
gleba, pobrudzić;soil
zbliżać się, droga, podejście;approach
czy;whether
skomplikowany, złożony 2;complex, intricate
oszałamiać, zadziwiać;bewilder
głęboki (o uczuciu), głębszy (o znaczeniu);profound
oszukać, zmylić;deceive
głupi, fałszywy;hoax
hojny +cz;lavish
wtedy;then
potem, później;afterward
następnie;thereafter
uraza 2;resentment, grudge
nadciągający;imminent
aż, do, dopóki;until
jednak;however
bieganina, popchnąć;hustle
surowy, srogi;harsh
drobne zastrzeżenie, spierać się;quibble
kłócić się;bicker
na boku;aside
od, na;upon
zobowiązanie, ślubowanie +cz;pledge
napięcie;tension
chwała;glory
bieżnia, okrążenie, sąd okręgowy;circuit
pod, poniżej;-neath, below
ocyganić;diddle
ujarzmiać;enslave
poza;beyond
zaniepokojony, zatroskany;anxious
może;perhaps
w zasięgu, wewnątrz;within
pytać, dowiedzieć się 2;inquire, enquire
popchnąć;shove
bezczelny;cheeky
rozpraszać 2;distract, disperse
rozrzut +cz;scatter
rana +cz;sore
szturchnąć;prod
dziwny, szczególny;peculiar
wpajać, nasycać;imbued
pozować +rz;pose
zemsta;vengeance
spustoszenie;havoc
dewastować +rz;ravage
trochę;kinda
właz;hatch
pełnomocnik, pełnomocnictwo;proxy
zerkać 3;peek, glance, peep
