odcedzacz;colander
ubijak ręczny;beater
trzepaczka;whisk
wałek;rolling pin
szybkowar;steamer
uczulenie, alergia;allergy
angina;angina
grypa 2;influenza, flu
ospa wietrzna;chickenpox
śpiączka;coma
zapalenie;inflammation
gorączka 2;temperature, fever
przeziębienie;cold
spuchnąć;swell
kaszel;cough
czkawka;hiccups
kichać;sneeze
dławić się;gag
skurcz;cramp
wrzód;ulcer
dreszcze;shiver
mdłości;nausea
łomotanie;pounding
zaczerwieniony, niewyraźny, załzawiony;bleary
ginekolog;gynaecologist
środek znieczulający;anaesthetic
badanie ogólne (kontrolne);checkup
przeszczep (zabieg);transplantation
szew;suture
wstrzykiwać;inject
cukrzyca;diabetes
zapalenie płuc;pneumonia
zaraźliwy 2;infectious, contagious
gruźlica;tuberculosis
choroba lokomocyjna;motion sickness
wylew, udar;stroke
recepta (na lekarstwo);prescription
środek przeciwbólowy;painkiller
