z;outta
swędzący;itchy
wyplenić;eradicate
bodziec;incentive
zatkać;clog
połykać +rz;swallow
niezależnie, w oddaleniu;apart
rajstopy, obcisły, naprężony;tight
bezrobotny;redundant
perspektywa;prospect
niezbędny;essential
władza, autorytet;authority
tłumacz (ustny);interpreter
wiercipięta +cz;fidget
wściekać się;rile
niedorzeczny, absurdalny;ludicrous
uciec się, kurort;resort
pochodzenie;ancestry
tupać;stomp
sprawiedliwość;justice
przyczynić się, wnosić coś;contribute
upodobanie, wyszukanie;fancy
z przodu, przed, naprzód;ahead
smycz +cz;leash
przydzielić, przypisać (zadanie, kogoś);assign
1000 (pieniądze), ty;thou
zapanować, dominować;prevail
zniszczyć, brać pod uwagę;wreck
jak tylko;as soon as
przypuszczać, zakładać (że coś) 2;suppose, assume
pomoc, pomocniczy;auxiliary
rzadko;seldom
konkretny, specyficzny;particular
przed siebie;along
angażować się;engage
szczególnie, zwłaszcza;especially
odwołanie, apelować +rz;appeal
niepewność;suspense
trywialny, błahy;trivial
solidny, jędrny, stały (praca);firm
samotny +rz;solitary
całkiem, dość;quite
pewny;certain
szyderstwo +cz, żarcie +cz;scoff
poufny;confidential
przyznać;admit
pojawić się, wyglądać;appear
wydawać się;seem
artykuł spożywczy;comestible
nachylać się, skłaniać się;incline
obawa, dotyczyć, martwić (kogoś);concern
rozkosz, szczęście;bliss
oszczędzać, część zapasowa, wolny;spare
poczucie własnej wartości;self-esteem
popsuć (np. z rozpieszczenia) (formy);spoil spoiled spoilt
rozpieszczać;pamper
szeroki, obszerny;broad
niszczyć, burzyć, rozstrzaskać;shatter
gwałtownie rosnąć, szybować;soar
gardzić;despise
inicjał, początkowy;initial
szturchnąć;nudge
wykonalny, możliwy do zrobienia;feasible
mimo (czegoś);despite
wynajmować +rz;lease
zasób, źródło;resource
biurokracja, urzędnicy;bureaucracy
pomysłowy;ingenious
przodek;ancestor
żaden, też nie;neither
ani (ani jeden, ani drugi);nor
wynaleźć;invent
nastawienie, stosunek, zachowanie;attitude
żądanie;behest
ściskać 2;squeeze, clench
zamachnąć się, uderzyć, ukraść;swipe
stajnia, stabilny;stable
zgoda, pozwolenie 2;assent, concent
zatwierdzać;approve
powinien (zachowanie, logiczne oczekiwanie);ought
wpoić;instill
zawijas, wir +cz;swirl
pomarszczyć się (skórka od owocu), więdnąć (liście);shrivel
stały, logiczny;consistent
poronić;miscarriage
przekomarzać +rz;banter
główny, dyrektor;chief
zatrzymać +rz;halt
świadomy;aware
osiągnąć;accomplish
potworny;atrocious
dążyć do (czegoś), gonić za czymś;pursue
paplać 3;blabber, chatter, prattle
przygaszone;subdued
hipnotyzować;mesmerise
współpracownik, stowarzyszony, powiązać;associate
kopuła;dome
ogromny 3;ginormous, enormous, vast
braterstwo;frat
poślizgnąć się;slip
