klamerka, aparat korekcyjny;brace
brać w obięcia +rz;embrace
szanować +rz;regard
towarzyski 2;out-going, gregarious
stanowczo;firmly
zanik, spadek, upadek;decline
gospodarność, oszczędnoś;thrift
kogo, którego, których;whom
przesadzać, wyolbrzymiać;exaggerate
zdrada (np. ideałów, kraju);treason
zamierzać (coś zrobić);intend
rzęsa, bicz +cz;lash
wypłukać;rinse
uwolnić (z niewoli), wydać;release
zderzać się;collide
brawura;daring
wiercić się;wriggle
drzeć (formy);tear tore torn
wgniecenie;dent
zdzirowaty;slutty
wyzwanie, odważyć się;dare
oszacować 3;estimate, approximate, evaluate
wahać się, zmieniać się;fluctuate
pogoń, pasja, praca;pursuit
złapać w sidła, zniewolić;ensnare
odczepiać;detach
wycofać się;retreat
odrapany;shabby
ucztować +rz 2;feast, revel
wadliwe działanie;malfunction
bezpieczny;secure
ukazać się, pojawić się;emerge
okaleczyć, kaleka;cripple
rozwaga, ostrzegać;caution
przyznawać, pogodzić się;acknowledge
potwierdzić;attest
manewrować;maneuver
szczypać;pinch
tył;rear
nacięcie, szpara;slit
rozprawiać;rant
podtrzymać, wytrzymywać;sustain
zrównoważony;sustainable
pretensja, pretekst;pretense
dostać czymś;struck
ukrywać;conceal
chichotać 3;snicker, chuckle, cackle
szarpać, palant;jerk
nakłuwać, kutas;prick
fałdować, marszczyć;corrugate
podnosić, dźwig;hoist
równoznaczny;tantamount
geniusz, cud;prodigy
kompletny;utter
względny, krewny;relative
zaleta, kapitał;asset
przewyższyć, przekroczyć;exceed
fragment, wyjątek;excerpt
dokuczać, kłopot;hassle
(uciążliwy) obowiązek;chore
rozwalać się (na czymś), rozciągać się (miasto);sprawl
bisowanie;encore
godność, powaga;dignity
wkład, udział (w interes);stake
wygodny, praktyczny;convenient
każdy;each
chętny (na coś);keen
być dłużnym, zawdzięczać;owe
odsłonić;bare
nikczemny;wicked
kukiełka;puppet
bezpośrednio zagrażać;impend
wskazówka, rada;hint
szacowanie, wycena 2;valuation, appraisal
łagodzić 2;soften, alleviate
dojazd do pracy, złagodzić;commute
żywopłot, wykręcać się;hedge
prawdziwy;genuine
wnosić oskarżenie, ścigać sądowo;prosecute
przypuszczać;presume
przemoczyć;drench
trzepot skrzydeł +cz;flutter
pochlebiać;flatter
skrzyżowanie;junction, intersection
redukować;downsize
rozrastać;upsize
krzątanina;bustle
gnieść, masować;knead
pohamować, ograniczać;restrain
powstrzymywać;refrain, suppress
nastrój;ambiance
wychwalać +rz;praise
przysługa, przychylność 2;favor, favour
łyk, uderzyć +rz;slug
ledwo;barely
brak, niedociągnięcie;shortcoming
harować +rz;labour
zapewnić;ensure
niedobór, brak;deficiency
nadmiar;surplus
