wołać, wykrzykiwać;exclaim
dzielnica;district
odrębny, wyraźny;distinct
oślepiające światło, gniewny wzrok;glare
uprząż, zaprzęg;harness
nonszalancki (lekceważący stosunek);nonchalant
strach;dread
żałować;regret
wdrażać, udzielić pomocy, podpisać się;endorse
zdolny, kompetentny;capable
satysfakcjonujący;rewarding
przekupić;bribe
wyskoczyć (do miejsca), lekko ugryźć, szczypnąć;nip
gryźć, dręczyć;gnaw
twój;thy
stąd, więc, z tego powodu;hence
muskularny;hench
mimo wszystko;regardless
wydział, zdolność;faculty
zapewniać;assure
zazdrościć +rz;envy
przynieść, sprowadzać;fetch
wyobrażać sobie, tworzyć;conceive
znieść, przestrzegać;abide
mieszkać;dwell
wytrzymać;endure
położyć;put up
wierzchołek, kolec;cusp
sięgnąć do, kopać;delve
sprawa do zrobienia;errand
stypendium, wyrażać zgode, przyznawać;grant
szykowny;ritzy
zawiesić, wstrzymać;suspend
odnaleźć, odzyskać;retrieve
plagiat;plagiarism
w imieniu kogoś;behalf
oskarżyć;accuse
nagły, gwałtowny;abrupt
uspokajać;reassure
drugi (koniec), dalszy, dalej;farther
skurcz (ony);cramp
dusić, dławić;suffocate
zobowiązywać;obligate
packa na muchy +cz;swat
opłata za przejazd;fare
naprawdę, prawdę mówiąc (nie „aktualnie”);actually
aktualnie;currently
utrzymanie (w dobrym stanie);preservation
mimo;in spite
jednakże, mimo wszystko;notwithstanding
gdzie indziej;elsewhere
męczennik;martyr
zabraniać;forbid
ogólny, powszechny;general
ślizgać się, pełzać;slither
pot;perspiration
precyzyjny;precise
jęczeć 3;groan, whine, moan
wzbudzać, pobudzać;arouse
bełkotać;gibber
nieistotny 2;petty, negligible
przenikliwy, przeszywający;piercing
strup, skorupa;crust
krata;grating
trzeć na tarce, zgrzygotać, ruszt, kratka;grate
kształt fali;waveform
skrzekliwy (o rzeczach);screeching
kakofonia (nieprzyjemne dźwięki);cacophony
błagać, bronić (przed zarzutem);plead
czapka;cap
chwiać się, wahać się;waver
zeskrobać, zadrapaniem;scrape
ciarki, mrowienie;tingle
zabiegać o względy, zalecać się;woo
poprawiać, wnieść poprawki;amend
zakątek, kącik;nook
szczelina, rysa;cranny
sfałszować +rz, bawić się bezmyślnie;fiddle
grzywka;bangs
guz, uderzenie;bump
przyjemność, traktować, leczyć;treat
kapryśny, zmienny;whimsical
sprzedawać, handlować;vend
nabierać, łopatka;scoop
skrzywić się z bólu +rz;wince
bezpłodny, nieurodzajny, bez rezultatu;barren
skinąć (zaprosić gestem), kusić;beckon
nucić pod nosem, szumieć +rz;hum
recytować;recite
pytający, zagadkowy;quizzical
rozmnażać się, hodować (o zwierzętach oba);breed
świąteczny;festive
zakłócać, bezcześcić;violate
miękki, czuły;tender
skarcić;scold
zanieczyścić;contaminate
truchtać;trot
upadać, przewracać się;tumble
szturchać, trącać;nudge
popis, wyczyn;stunt
