żywy, obrazowy;vivid
zawrót głowy;vertigo
jeść małymi porcjami np. skubać +rz;nibble
rozdrażniony, nieznośny;petulant
smarkula, kwit, notatka;chit
wymagać;require
wiązać koniec z końcem;make ends meet
wrażliwy;vulnerable
kawałek czegoś;scrap
przysuwać się niepostrzeżenie;sidle
unikać, zapobiegać;avert
rada;advice
radzić;advise
ziomek, kolega;blud
dodatek;perk
śledzić +rz;trace
pogarda +cz;contempt
rozrywka;pastime
wartościowy, warty trudu;worthwhile
zachwycać 3;delight, enrapture, marvel
lukier, polewa (od ice);icing
odrzucać, zwolnić z pracy, uznać kogoś jako;dismiss
pojemnik, tacka;tray
generalnie;generally
kwaśny, psuć;sour
cyfra, liczba, osoba, być zdania że;figure
występek, zły nawyk;vice
dziedziczyć;inherit
wyłączyć się (o osobie);space out
beztroski;carefree
ulegać, ustępować;relent
treść, zadowalać;content
wykład +cz (nie lektura!);lecture
nieświadomy;oblivious
częsty, bywać gdzieś;frequent
bezczynny;idle
cętkowane +rz +cz;speckle
wyjaśnienie;clarification
bezgraniczny, ukryty;implicit
pozbywać się czegoś/kogoś, uwolnić się od czegoś/kogoś;rid
pojmować, obejmować;comprehend
ociągać się, zwlekać, zasiedzieć się, zatrzymać się nad czymś;linger
rozsądny, przy zdrowych zmysłach;sane
unikać, trzymać się z daleka;shun
czas wolny, bez pośpiechu;leisure
po fakcie, patrząc wstecz;hindsight
wzburzony, porywisty;turbulent
zaostrzać, potęgować;exacerbate
przesłanka (motyw, zachęta), poprzedzać;premise
kalambur +cz;pun
intencja, robić celowo;intent
zamierzać, planować;intend
przyczyna, powód, sprawa, powodować;cause
kontynuować, postępować, przechodzić do czegoś;proceed
cień;shade
spójny, zrozumiały;coherent
mieszanka +cz, używane rzeczy;jumble
pozbawiony czegoś, unieważniać;void
uchylać, odwołać;revoke
zadowolony z siebie;complacent
skuteczny;efficient
odrętwiały;numb
ludzkość;mankind
wygodny, praktyczny;convenient
zaniedbywać +rz;neglect
namiętny;avid
lotnictwo;aviation
demontować, rozbierać;dismantle
płaszcz, warstwa, brać obowiązki na siebie;mantle
kruszyć;crumble
pełzać, raczkować;crawl
wzmocnić;amplify
nieunikniony;inevitable
świadek +cz;witness
złudzenie;delusion
obracać się;revolve
cal, wlec się;inch
rozsądny 2;reasonable, sensible
przyłapywać, złapać miejsce;nab
wymiotować +rz;vomit
rzygać, wypuszczać, wydzielać;spew
pomagać finansowo, obdarzać (nie tylko pieniądze);endow
niewyraźny;fuzzy
ingerować;interfere
wtrącić się;meddle
przerywać;interrupt
nieustanny;incessant
nieprzyjazny;hostile
grozić +rz;threaten, menace
obrzydliwy;obnoxious
brudny, ohydny;filthy
gorączkowy;hectic
niespokojny;antsy
zawijać, opakować;wrap
smarować, plamić +rz;smudge
zatrzymać, rozumieć;apprehend
pełen obaw, zmartwiony;apprehensive
przypuszczać, przyjmować;presume
przywiązać, ujmować;endear
podczas;whilst
