dość, całkiem;fairly
przeczucie, garbić się;hunch
dzbanek;pitcher
kłócić się +rz;quarrel
uważny, taktowny, liczący się z innymi;considerate
szczerze;frankly
wskazywać;indicate
zmarszczyć +rz;crinkle
wymachiwać;brandish
bazgrać +rz;scrawl
dogadzać, pozwalać;indulge
trzepotać +rz, łagodnie unosić się po wietrze;flutter
samotnik;recluse
gromada, narada;huddle
stado 2;flock, bevy
złowieszczy;ominous
cecha;trait
kończyna;limb
mignąć (szybko przelecieć) +rz;glimpse
interweniować;intervene
zaprzeczać +rz;contradict
wydymać wargi, dąsać się;pout
pielęgnować +rz;nurture
mamrotać 2;mutter, mumble
mrowić +rz, roić się +rz;swarm
naruszenie;breach
opanowanie, budowa bezpieczeństwa;containment
pragnienie, popędzać;urge
przyspieszać;quicken
dręczyć, plaga;plague
walnąć +rz;bash
mieć znaczenie, kwestia;matter
potknąć się;stumble
skrytykować;berate
zaniepokojony, zainteresowany;concerned
najmniejsze;slightest
okrywać, otaczać;envelop
urazić, zniewaga, mały/drobny;slight
nawilżać, tłumić;dampen
wilgotny +rz;damp
ogłuszyć +rz;daze
zaskoczyć, przestraszyć;startle
rozcieńczyć +prz;dilute
kapać;drip
strużka, spływać;dribble
przeczulony na jakimś punkcie, delikatny;squeamish
koloryzować, odcień;tint
wojenny;martial
zapiąć;fasten
trawić (żołądek), wyryć;etch
dziobek, tryskać;spout
poważny, ciężki, ostry;severe
nawijać, szpula;spool
składać (np. ręce);fold
przeniknąć, wypełniać;permeate
mgła, para;vapor
czysty, staranny;neat
rozproszony +cz;diffuse
zwiększyć, wzmacniać;enhance
wielki, intensywny;intense
strzęp, kraść, wyrywać;snatch
obalić, unieważnić;invalidate
przechadzać się +rz;ramble, stroll
zaniepokojony;uneasy
nierówny;uneven
element, pasmo;streak
olbrzymi;tremendous
rozprowadzać;distribute
odnosić sukces;succeed
sukces;success
uciążliwość;nuisance
drobiazgowy, (przesadnie) staranny;meticulous
ukryty;ulterior
pogrzebać;bury
odbiegać, zbaczać;deviate
powiedzonko;catchphrase
zmniejszać;diminish
brutto;gross
netto;net
wklęsłość, wydrążony;hollow
próżny;vain
wiać +rz;gust
ciemny, przygaszać +rz;dim
przestawać;cease
synchronizować +rz;sync
poszukiwać (formy);seek sought sought
bezsensowny, bezmyślny, głupkowaty;inane
granica;boundary
przestrzeń;expanse
niezmienny;steady
szurać +rz, tasować;shuffle
rów, zerwać (związek), pozbyć się;ditch
pożałować na coś, zazdrościć;begrudge
broszura;pamphlet
pogodny;serene
przemycać;smuggle
odmieniać, modulować;inflect
wymawiać, sformułować;enunciate
niepewny, niestabilny;insecure
rzucać się;squirm
