math;すうがく - 数学
biology;せいぶつ(がく) - 生物(学)
chemistry;かがく - 化学
geography;ちり(がく) - 地理(学)
japanese;にほんご - 日本語
english language;えいご - 英語
polish;ポランドご - ポランド語
university/college;だいがく - 大学
high school;こうこう - 高校
school (in general);がっこう - 学校
major (main subject);せんこう - 専攻
hometown, birthplace;ふるさと - 故郷
origin;しゅっしん - 出身
country;くに - 国
meal/cooked rice;ごはん - ご飯
breakfast;あさごはん - 朝ご飯
lunch, midday meal;ひるごはん - 昼ご飯
dinner;ばんごはん - 晩御飯
lunch box;べんとう - 弁当
mcdonald's;マクドナルド
convenience store;コンビニ
super market;スーパー
