happy;うれしい
sad;かなしい - 悲しい
angry;おこっている - 怒っている
calm;おちついた - 落ち着いた
lonely;さびしい - 寂しい
sick;ぐあいがわるい - 具合が悪い
polite;ていねい - 丁寧
clever;かしこい - 賢い
honest;せいじつ - 誠実
annoying;いらだたしい - 苛立たしい
proud;ほこりにおもう - 誇りに思う
small;ちいさい - 小さい
narrow, wąski;せまい - 狭い
short;みじかい - 短い
hard;かたい - 硬い
soft;やわらかい - 柔らかい
light;かるい - 軽い
cheap;やすい - 安い
expensive;こうか - 高価
busy;いそがしい - 忙しい
sunny;はれた - 晴れた
rainy;あめの - 雨の
humid;しめった - 湿った
windy;かぜのつよい - 風の強い
cloudy;くもった - 曇った
good;よい - 良い
healthy;けんこうてき - 健康的
tall;せがたかい - 背が高い
beautiful;きれい
strong;つよい - 強い
cool;すずしい - 涼しい
ugly;みにくい - 醜い
kind;しんせつ - 親切
scary;こわい - 怖い
cold;つめたい - 冷たい
interesting;きょうみぶかい - 興味深い
funny;おもしろい - 面白い
difficult;むずかしい - 難しい
hot;あつい - 暑い
easy;かんたん - 簡単
bad;わるい - 悪い
clean;きれい
dirty;かたない - 汚い
near;ちかい - 近い
tired;つかれた - 疲れた
rich;おかねもちの - お金持ちの
poor;びんぼう - 貧乏
low;ひくい - 低い
high;たかい - 高い
famous;ゆめい - 有名
