good morning (informal);おはよう
good morning (formal);おはようございます
good afternoon/hello (formal only);こんにちは
good evening/hello (formal only);こんばんは
good night 2;おやすみ, おやすみなさい
thank you (informal);ありがとう
thank you (formal past, helped you);ありがとうございました
hello/how do you do? (first time);はじめまして
nice to meet you;よろしくおねがいします
i see/is that so (formal);そおですか
i see/is that so (informal);そお(か)
see you (most formal);では、また
see you (formal);じゃあ、また
see you (very informal);(じゃあ) またね
please go and come back;いってらっしゃい
i'll go and come back;いってきます
i'm home/i'm back;ただいま
welcome home/welcome back;おかえり(なさい)
i am sorry (informal);ごめん(なさい)
i am sorry (formal);すみません
excuse me (attention);すみません
thank you for the meal (before eating);いただきます
thank you for the meal (after eating);ごちそうさまでした
please say it one more time;もお　いちど　いってください
one more time, please;もお　いちど　おねがいします
are you ok?;だいじょおぶですか
yes, i am ok;はい、だいじょおぶです
good luck (formal);がんばってください
good luck (informal);がんばって
i am sorry (informal for men);ごめんな
i am sorry (informal universal, usually woman);ごめんね
thank you (formal);ありがとうございます
thank you (for effort);すみません
