I don't understand;わかりません
I don't speek Japanese;にほんごおはなしません
Do you speak English?;えいごおはなしますか
Can you please repeat that?;もういちどいってください
Can you please speak slowly?;ゆっくりはなしてください
What is this?;これわなんですか
How much does this cost?;これわいくらですか
Can you please help?;たすけてもらえますか
where is the...?;...わどこですか
is it near?;ちかいですか
is it far?;とおいですか
go straight ahead;まっすぐいってください
turn left;ひだりにまがってください
turn right;みぎにまがってください
take me to this address, please;このじゅしょまでつれていってください
what is the fare?;りょうきんわいくらですか
stop here, please;ここでとまってください
does this bus go to (name)?;このバスわ...にいきますか
does that train stop at...?;そのでんしゃわ...でとまりますか
the subway;ちかてつ
the train station;でんしゃのえき
the bus stop;バスてい
the taxi stand;タクシーのりば
the exit;でぐち
the entrance;いりぐち
the bathroom;トイレ
I have a reservation under the name of...;...のよやくおしています
I would like to check-in;チェックインわなんじですか
Where is my room?;わたしのへやわどこですか
what time is check-out?;チェックアウトのじかんわなんじですか
is there wifi in the hotel?;ホテルにワイファイがありますか
how many people(restaurant)?;なんめいさまですか
this way, please;こちらえどうぞ
certainly(in response to order);かしこまりました
thank you for waiting;おまたせいたしました
a table for two, please;ふたりようのテブルをおねがいします
the menu, please;メニュをおねがうします
can I please have (one, two) of this?;これを(ひとつ,ふたつ)おねがいできますか
the check, please;おかんじょをおねがいします
here it is/here you go;はいどうぞ
I would like this;これをおねがいします
I would like one of those;それをひとつおねがいします
I would like to pay in cash;げんきんでおねがいします
I would like to pay by credit card;クレジットカードでおねがいします
