teacher;せんせい - 先生
sensei (occupation name);きょうし - 教師
nurse;かんごし - 看護師
nurse (female);かんごふ - 看護婦
secretary;ひしょ - 秘書
fire fighter;しょうぼうし - 消防士
police officer;けいさつかん - 警察官
security guard;けいびいん - 警備員
lawyer;べんごし - 弁護士
doctor;いしゃ - 医者 - いし
scientist;かがくしゃ - 科学者
banker;ぎんこういん - 銀行員
post office worker;ゆうびんきょくいん - 郵便局員
government employee;こうむいん - 公務員
office worker (male);サラリーマン
office worker (female);ol - オーエル
office worker;かいしゃいん - 会社員
paramedic;きゅうきゅうたいいん - 救急隊員
accountant;かいけいし - 会計士
factory worker;こうじょうろうどうしゃ - 工場労働者
baker (owner);パンヤ
baker (employee);パンしょくこん
train conductor;しゃしょう - 車掌
manager;マネージャー
waiter;ウェイター
waitress;ウェイトレス
chef;シェフ
cook;りょうりにん - 料理人 - コック
cashier;レジ
farmer;のうか - 農家
construction worker;けんせつろうどうしゃ
plumber;はいかんこう - 配管工
carpenter (stolarz);だいく - 大工
gardener;にわし - 庭師
bus driver;バスのうんてんしゅ - バスの運転手
taxi driver;タクシーのうんてんしゅ - タクシの運転手
pharmacist;やくざいし - 薬剤師
electrician;でんきぎし - 電気技師
veterinarian;じゅうい - 獣医
real estate agent;ふどうさんぎょうしゃ - 不動産業者
florist;はなや - 花屋
employee;じゅうぎょういん - 従業員
translator;ほんやくしゃ - 翻訳者
photographer (artist);しゃしんか - 写真家
full-time housewife;しゅふ - 主婦
painter;がか - 画家
writer;さっか - 作家
manga writer;まんがか - 漫画家
student;がくせい - 学生
elementary school student;しょうがくせい - 小学生
secondary school student;ちゅうがくせい - 中学生
university student;だいがくせい - 大学生
high school student;こうこうせい - 高校生
graduate school student;だいがくいんせい - 大学院生
exchange student;りゅうがくせい - 留学生
computer programmer;プログラマー
hair stylist;ヘアースタイリスト
retired;たいしょくました - (bez desu)
