one;一 - イチ
two;二 - ニ
three;三 - サン
four;四 - よん, シ
five;五 - ゴ
six;六 - ロク
seven;七 - なな, シチ
eight;八 - ハチ
nine;九 - キュウ
ten;十 - ジュウ
hundred;百 - ヒャク
thousand;千 - セン
ten thousand;万 - マン
person, people;人 - ひと
now;今 - いま
day, sun;日 - ひ
week;週 - シュウ
month, moon;月 - つき, ガツ
year;年 - とし, ネン
inside, middle;中 - なか
mountain;山 - やま
river, stream;川 - かわ
left;左 - ひだり
right;右 - みぎ
big;大 - おお(きい)
tree, wood;木 - き
book;本 - ホン
water;水 - みず
fire;火 - ひ
father;父 - ちち
mother;母 - はは
ear;耳 - みみ
mouth;口 - くち
rest;休 - やす(む)
what;何 - なに
enter, insert;入 - はい(る)
above, up;上 - うえ
in front, before;前 - まえ
down, under, lower;下 - した
noon;午 - うま, ゴ
friend;友 - とも
old;古 - ふる(い)
name;名 - な
country;国 - くに
outside;外 - そと
woman;女 - おんな
man;男 - おとこ
child;子 - こ
study, learning;学 - まな(ぶ), ガク
life, birth;生 - い(きる), セイ
little, small;小 - ちい(さい)
write;書 - か(く)
