how old;なんさい
phone, phone call;でんわ
number;ばんごう
what number;なんばん
dash -;の
hospital;びょういん
what is Patryk's phone number?;パトリックさん の でんわばんごう は なんばん ですか
Patryk's phone number is 22-826-5454;パトリックさん の でんわばんごう は に に の はち に ろく の ご よん ご よん です。
How old is Patryk?;パトリックさん は なんさい ですか
Patryk is 25 years old;パトリックさん は 二十五 さい です。
how old are you? (formal);おうくつ ですか
one;いっさい
two;にさい
three;さんさい
four;よんさい
five;ごさい
six;ろくさい
seven;ななさい
eight;はっさい
nine;きゅうさい
ten;じゅさい
eleven;じゅういっさい
twelve;じゅうにさい
thirteen;じゅうさんさい
fourteen;じゅうよんさい
fifteen;じゅうごさい
sixteen;じゅうろくさい
seventeen;じゅうななさい
eighteen;じゅうはっさい
nineteen;じゅうきゅうさい
twenty;はたち
thirty;さんじゅさい
forty;よんじゅさい
fifty;ごじゅさい
sixty;ろくじゅさい
seventy;ななじゅさい
eighty;はちじゅさい
ninety;きゅうじゅさい
