Patryk what do you like?;パトリックさん は なに が すき ですか。
I like vegetables;私 は やさい が すき です。
How about fruits?;くだもの は。
I like fruits too;くだもの も すき です。
I don't like fruits;くだもの は すき じゃないです。
Patryk do you like fish?;パトリックさん は さかな が すき ですか。
Yes, I like fish;はい。私 は さかな が すき です。
No, I don't like fish;いいえ。私 は さかな は すき じゃない です。
Patryk what food (category) do you like?;パトリックさん は たべもの は なに が すき ですか。
I like sushi;私 は すし が すき です。
What ice cream (category) do you like?;アイスクリーム は なに が すき ですか。
I like strawberry ice cream;いちご の アイスクリーム が すき です。
Patryk do you eat cake?;パトリックさん は ケーキ を たべますか。
Yes. I eat cake.;はい。私 は ケーキ を たべます。
No. I dont eat cake.;いいえ。私 は ケーキ は たべません。
food;たべもの
meat;にく
fish;さかな
vagetables;やさい
fruits;くだもの
eggs;たまご
bread;パン
miso soup;みそしる
rise;ごはん
soup;スープ
cake;ケーキ
drink;のみもの
coffee;コーヒー
western tea;こうちゃ
milk;きゅうにゅう
asian tea;おちゃ
juice;ジュース
water;みず
beer;ビール
wine;ワイン
anime;アニメ
manga;まんが
sport;スポーツ
movie;えいが
band;バンド
cuisine;りょうり
japanese cuisine;にほん の りょうり
strawberry ice cream;いちご の アイスクリーム
soy sauce;しょうゆ
tuna;まぐろ
tuna (can);ツナ
cream (taste);なまクリーム
shrimp;えび
chips;ポテトチップス
sauce;ソース
