śpiewać chórem +rz, refren;chorus
kanał, przewód;duct
dryg, zgięty;bent
dusić 2;asphyxiate, suffocate
nadzór, inwigilacja;surveillance
utożsamiać, porównywać;equate
równanie;equation
czas trwania;span
dreszcz z emocji;thrill
dowód, dowody (nie ma liczny mnogiej), udowadniać;evidence
wznosić, podwyższać;raise
trzeźwy, poważny;sober
donosić +rz;snitch
zdzielić skórę, dać naganę;chastise
podobnie;likewise
ocalić +rz;salvage
luźny;loose
końcówka, sygnał;cue
sprzeczka, kontrowersja, kwestionować;dispute
sumienie;conscience
przegroda, zaskakiwać;baffle
zapisać się;enroll
poradzić sobie;cope
roztrwonić, zaprzepaścić;squander
litość, współczuć +rz, żałować +rz;pity
unosić się (zapach, dźwięk);waft
dlatego też, zatem;therefore
podmuch, sapać +rz;puff
dyrygować;domineer
wychowanie;upbringing
osoba niższej pozycji, gorszy;inferior
krótki (i gruby);stubby
niezrównany, wspaniały;sublime
plemię, banda;tribe
zezwolenie, pozwalać;permit
pamięć, przypomnieć sobie;recall
odwrotność, rozmawiać;converse
nadać;confer
przerazić, napawać lękiem;appalling
figlarny 3;mischievous, frolicky, impish
szeroko się uśmiechać +rz;grin
mężny;gallant
wytryskiwać, strumień;spurt
schować, zapakować;stow
zadrapanie +cz;scratch
wypowiedź;utterance
włóczyć nogami +rz;shamble
bodziec, pobudzić;spur
sąd, zabiegać o;court
uwaga +cz, zastanowienie się;heed
szacunek, uległość (przez wzgląd na kogoś);deference
dziewczyna;lass
przeciwstawiać się;defy
przestrzegać, być posłusznym;obey
poważny +rz, szczery, sumienny;earnest
przejrzeć, przestudiować;peruse
szum, mruczeć, szeptać;murmur
zatłoczony;packed
zakłopotać;perplex
giętki;supple
uderzenie;stroke
płytki, powierzchowny;shallow
złagodzić;appease
niekorzystny;adverse
zrzekać się, zrezygnować;relinquish
siorbać +rz;slurp
pieścić +rz;caress
szczupły;slender
szczepionka +cz, cios prosty (w boksie), dźgnięcie;jab
zaczerwienić się;redden
rumieniec, spłukać;flush
zaczerwieniony, spuchnięty;bleary
gwałtowne bicie;throb
obfity;profuse
wprowadzić w błąd;feint
oszczerstwo, mamrotanie;slur
połysk +cz +prz;gloss
gaworzyć +rz;coo
przesłonić;obstruct
ujmujący;prepossessing
posiadać, opętać;possess
opanowany;self-possessed
świecić, promyk (np. światła, nadziei);gleam
smutek +cz;sorrow
opuszczony, wymarły;forlorn
zmrużać oczy, zez;squint
dąsający się;sulky
wybrzeże;coast
pełen napięcia;fraught
syczeć;hiss
okup, wykupić +rz;ransom
kwiaty, kwitnąć;blossom
duch, zapał;spirit
placówka, funkcja, talent;facility
rysa +cz;scuff
ślinić się 2;drool, salivate
przekraczać, przewyższać;transcend
tarcza, panel kontrolujący (np. ekran telefonu);dial
mżyć +rz;drizzle
otoczyć, załączać;enclose
