zabawny;droll
raczyć, podejść protekcjonalnie;condescend
pożyczka;loan
absorpcja, pojmowanie czegoś;uptake
awanturować się +rz;fuss
wybredny;fussy
włóczyć się;loiter
balować;gallivant
znaczek, stempel;stamp
kłopot, dokuczać;hassle
rozmieścić, nakłonić, pozbyć się;disposal
nakaz;warrant
przekraczać (oczekiwania), przewyższać (siłą, rozumem);surpass
pobłażliwość, wyrozumiałość;lenience
czochrać, mankiet;ruffle
pobudzać, ostrzyć;whet
wydatek;expense
żyć na czyjś koszt;freeload
wykonywać, spełniać;execute
oczarować;enchant
partia;batch
skąpy;stingy
piana, zamydlić;lather
wartość, zasłużyć +rz;merit
głupek, oszukiwać;fool
skosić (to co nasiane);reap
siać;sow
niefortunnie;unfortunately
dodatkowo;additionally
kępa, ciężko stąpać;clump
ciasto (przed upieczeniem);dough
wysłać dalej, do przodu, napastnik;forward
od razu, prostota;straightaway
wznosić się, wcinać się;jut
drogeria;drugstore
urzędnik;clerk
pamiątka;memento
fartuch;apron
ubierać;clothe
dyskrecja, swoboda decyzji;discretion
niedbała postawa, ciamajda;slouch
nietknięty;intact
zawiązywać, krawat;tie
brzdąkać;strum
jednostka, istota;entity
koniczyna;clover
powracać (do czegoś);revert
dopasowany;snugly
sklepienie, skarbiec, podziemia;vault
niejasny, zaciemnić;obscure
mętny, niejednoznaczny;vague
jądro, sedno, ziarno;kernel
święty;sacred
przynosić korzyści +rz;avail
odziedziczyć, spadkobierca;heir
szczątki, gruzy;debris
pamiątka rodzinna;heirloom
biskup, goniec;bishop
kruszyć się +przym;brittle
pojemność;capacity
udręka, (zobowiązany, związany) (formy);bind bound bound
schronić, port;harbor
przedmiot, sprzeciwiać się;object
godzina policyjna;curfew
natychmiastowy, najbliższy;immediate
oczyszczać, dopracować;refine
mianowicie;namely
zmniejszać;lessen
uparty, nieugięty;stubborn
ściera, szmata;rag
klamerka, zapinać klamrę, odkształcić, wypaczyć;buckle
żaluzja;shutter
cieknąć (formy);sink sank sunk
czołowy;foremost
przedwcześnie rozwinięty;precocious
napad złości;tantrum
trup, sztywny;stiff
poruszać, ruszyć;budge
wyruszyć, odchodzić od kogoś;depart
ziewać;yawn
wytrwałość;stamina
decydujący;crucial
stan, państwo;state
męczyć +rz;fatigue
sprawność;prowess
parny, duszny;sultry
potrząsnąć (formy);shake shook shaken
smakować 2;savor, savour
lekkie uderzenie;bop
tragiczny;dire
rozbrykany, napalony;frisky
widoczny, rzucający się w oczy;conspicuous
wyskakiwać z czymś, powiedzieć bez zastanowienia;blurt
przypominać (wyglądem);resemble
połysk;sheen
niezadowolony;pouty
naruszaćinfringe;infringe
sylwetka, zarys;silhouette (siluet)
matczyny;maternal
twardy, stanowczy;adamant
