upamiętnić;commemorate
komitet, komisja;committee
chaotyczny, przypadkowy;haphazard
zakazany, zabroniony;illicit
półprzytomny;groggy
powierzać;entrust
kłuć, kolec;prickle
nieco;somewhat
grymas niezadowolenia;scowl
tęsknić, bardzo pragnąć;yearn
grzebień;comb
zrobić grymas +rz;grimace
oburzać się, czuć urazę;resent
uczestniczyć, raczyć się czymś (formy);partake, partook, partaken
spalić;incinerate
aspekt, punkt widzenia;aspect
szeroko otwarty;agape
trudność (życia);hardship
splatać;interwine
zroszony;dewy
przebierać palcami;twiddle
skradać się (formy);creep crept crept
zwiotczały, kuleć;limp
zawrót głowy, oszołomić +przy;dizzy
pracowity, sumienny;diligent
zauroczyć, zniewolić;ravish
determinacja, rozwiązywać;resolve
rozwiązać;solve
rozplątać, rozwikłać;disentangle
być stosownym;befit
ripostować +rz;retort
wyrażenie, złączone słowa;collocation
agresywny;snappy
rozjaśnić, zmniejszyć ciężar;lighten
brud moralny;sleaze
oskarżenie, zarzut;accusation
prychać +rz;snort
sprawa, afera;affair
patrzeć pożądliwie;ogle
lubieżny;lecherous
ogłosić;announce
drobny;petite
skłaniać się, grawitować;gravitate
odludny;lone
wśród 2;amid, amidst
odziewać, strój;attire
kapka, kulka;glob
podmuch, wybuch;blast
wylot, otwór, nochal;nozzle
bryła, grudka;lump
pociągać +rz;tug
gościnność;hospitality
metka, etykieta;label
schronienie;refuge
bezwzględny;ruthless
skulić się ze strachu;cower
odnowienie;renewal
odnowić;renew
demon, szatan;fiend
kremówka, pomadka;fondant
trącać nosem;nuzzle
chodzić jak kaczka +rz;waddle
lokal, miejsce;venue
potulny;meek
uciekanie się;recourse
łatwowierny;gullible
skakać (formy);spring sprang sprung
równina, wyraźny;plain
unicestwiać;annihilate
głupek 3;doof, goof, dolt
tak jakby;sorta (sort of)
ekstaza, uniesienie;ecstasy
schrupać, przeżuwać;munch
kształtować, foremka, pleśń (formy);mold mould mould
niedbały;sloppy
przedtakt, optymistyczny;upbeat
budzić grozę;intimidate
zdecydowany, stanowczy;resolute
uchwała;resolution
kołyska +cz;cradle
stwierdzać, potwierdzać;affirm
chrupać, miażdżyć;crunch
dzielny, waleczny;valiant
wesołość;glee
skłonny do upadku;tippy
grzać coś z korzeniami, rozważać;mull
wycofać się, wybierać coś;opt
przyrząd;utensil
bochenek chleba, obijać;loaf
łup, ciągnąć;haul
kwota, przydział;quota
wprawa;knack
rozwijać;expand
odszyfrować;decipher
marszczyć brwi;frown
odpowiednik;equivalent
przyciągać;attract
pominąć;omit
czystka +cz;purge
streszczać;encapsulate
