zakazać;prohibit
wybitny;eminent
przewidywać 2;envisage, foresee
zakładać coś;envision
opustoszeć;desolate
pulchny;plump
rozpruć, rozwikłać;unravel
błyskotki;bling
dopłacać;subsidise
swobodny;easy going
towarzyski;outgoing
wywierać, wysilić się;exert
wycofać się (biznes), wypłacać pieniądze;withdraw
nastrój, temperament;temper
ponury 4;morose, bleak, sullen, dreary
wczuwać się;empathise /empyfais/
odpływ, ustąpić;ebb
znaczny;substantial
zmienny, przelotny;volatile
zasiłek dla bezrobotnych, stado;dole
przejście +prz;transition
ortodoksyjny (przestrzegać reguł);orthodox
wstęp;preface
głodzić;famish
niepokój 2;anxiety, dismay
bez skrupułów;qualm
nieczystość;nasty
odejmowanie;subtraction
przypadkowy;arbitrary
sedno, podnieść;pivot
deprecjonować (tracić na wartości);depreciate
powierzchowność, fasada (udekorowany z zewnątrz);facade
zmieniać kierunek, zbaczać z kursu;deflect
męka;ordeal
różnokolorowy;heterochromatic
tłumić;muffle
boisko, tonacja, stopień;pitch
barierka, kolej, ogradzać;rail
oddany, wierny;steadfast
maselniczka, wzburzać;churn
osłupiały;dumbstruck
zawodzić +rz;wail
podsłuchiwać;eavesdrop
zakończenie, wniosek;conclusion
oburzony;indignant
podchmielony;tipsy
punkt zwrotny;tipping point
odległy;distant
podkreślać;accentuate
z falbankami;frilly
polityka, zasady;policy
nacinać +rz;notch
szczelina;cleft
plotka, pogłoska;rumor
zepsute, skaza +cz;taint
szarpnąć +rz;jolt
uśmiech z wyższością;smirk
klapa, opaść;flop
stopniowy;gradual
należyty, odpowiedni;due
z powodu;due to stg/sb
winowajca;culprit
wiejski;rural
chwytać;seize
opuszczać, zdezerterować;desert
brukować +prz;pave
dziedziniec;courtyard
niepotrzebny;superfluous
wioska, osada;hamlet
salon, poczekalnia, wygodnie siedzieć;lounge
wiklina;wicker
zaatakować, rojący się;infest
kominek;hearth
zakres, rozmiar;extent
zwodniczy;deceptive
wplątać, zamieszać;implicate
dreszcz +cz;shudder
postrzegać;perceive
oszpecać;disfigure
ogólnie coś dotyczące twarzy;facial
rencista;pensioner
niemowlę;infant
podczas gdy;whereas
wada;drawback
za zastępstwie (praca);temp
macierzyństwo;maternity
mnich, zakonny;friar
zatoka, przepaść (różnica między osobami);gulf
wyniosły;haughty
złośliwość 2;malice, spite
dziobnięcie +cz;peck
brzeg, odrębić +rz;hem
przesłuchiwać;interrogate
szaleństwo, przelotny romans;fling
pozbawiać (kogoś czegoś);deprive
gwiezdny;stellar
odbyć praktykę +rz;apprentice
mierzyć;mete
aleja, droga (sposób osiągnięcia czegoś);avenue
muł, sączyć się;ooze
