mewa;seagull
kret;mole
sarna;doe
osa;wasp
szerszeń;hornet
jeż;hedgehog
jeleń;deer
bóbr;beaver
bocian;stork
gepard;cheetah
struś;ostrich
chrzan;horse-radish
pietruszka;parsley
kurkuma;turmeric
imbir;ginger
por;leek
szparagi;asparagus
brokuły;broccoli
cukinia 2;courgette, zucchini
grzyby mun;black fungus
pieczarki 2;champignon, button
jarmuż;kale
rukola;arugula
bakłażan 2;eggplant, aubergine
morela;apricot
pigwa;quince
jarzębina;rowan
czarna porzeczka;black currant
czerwona porzeczka;red currant
jagoda;berry
aronia;chokeberry
żurawina;cranberry
czarny bez;elderberry
agrest;gooseberry
borówka amerykańska;blueberry
jeżyna;blackberry
figa;fig
guawa;guayaba
liczi;lychee
marakuja;passion fruit
granat;pomegranate
liść laurowy;bay leaf
czarnuszka;nigella
kminek;caraway seeds
rumianek 2;chamomile, camomile
szczypiorek;chives
kolendra 2;cilantro, coriander
kwas cytrynowy;citric acid
goździki;cloves
rzeżucha;(garden) cress
koperek;dill
skrzyp;horsetail
lawenda;lavender
trawa cytrynowa;lemongrass
melisa;lemon balm
lukrecja (korzeń) 2;licorice, liquorice
majeranek;marjoram
gorczyca;mustard
pokrzywa;nettle
rozmaryn;rosemary
szałwia;sage
szafran;saffron
wodorosty;seaweed
sezam;sesame
ocet;vinegar
sprzedawca;shop/sales assistant
księgowy;accountant
listonosz;postman
ksiądz;priest
kasjer;cashier
krawiec;tailor
ślusarz;locksmith
cieśla;carpenter
kaskader;stuntman
brygadzista;foreman
okulista 3;ophthalmologist, cultist, eye doctor
szkoła publiczna;state school
szkoła z internatem;boarding school
technikum;technical college
zawodówka;vocational college
student po licencjacie;undergraduate
magister/doktorant;post-graduate
magistrant;masters student
doktorant;phd student
stopień magistra;master’s degree
licencjat;bachelor’s degree
praca naukowa;thesis
praca (np. licencjacja);dissertation
okap;cooker hood
suszarka do naczyń;dish rack/drainer
kuchenka gazowa;gas stove
kuchenka elektryczna;electric range
cooker kuchenka indukcyjna;induction
spodek od filiżanki;saucer
serwetka;napkin
chochla;dipper
czajnik;kettle
szpatułka;spatula
młynek;mill
tarka;grater
