kałuża;puddle
cieknąć;leak
napływać powoli;trickle
skraj, pobocze;verge
starać się, kłopot;bother
krówka, wiadomość z ostatniej chwili, unikać;fudge
chaos;mayhem
wścibski;intrusive
ignorować, omijać;evade
schwytać, zdobyć +rz;capture
istotny;relevant
współczucie;compassion
powierzchowny (zewnątrz) 2;superficial, skin-deep
przesądny;superstitious
pobłażliwy (ulgowy);indulgent
światowiec, elegancki, wyrafinowany;sophisticate
skłonny, podatny;prone
niekonsekwentny;erratic
roztrzepany;scatty
zdziesiątkować;decimate
ekscentryczny (inny od norm społeczeństwa);eccentric
przebiegły, cwany 5;wily, cunning, devious, canny, crafty
szczery;sincere
altruista (ktoś bardziej niż on sam);altruist
dobrze się rozwijać, kwitnąć;thrive
doradca, adwokat;counsellor
zjełczały;rancid
nic;naught
przemysł;industry
współmałżonek;spouse
niemniej jednak 2;nonetheless, nevertheless
wszechobecność;ubiquity
osiągalny, dostępny;accessible
kusić 4;allure, lure, tempt, entice
wywnioskować;conclude
zebrać;gather
niestety;alas
cnota, zaleta;virtue
oceniać;assess
zamiatać;sweep
ciąć, rąbać;slash
kazirodztwo;incest
intymny;intimate
wymawiać, ogłosić;pronounce
ślubować +rz, przysięgać;vow
umiłować, mieć nadzieje;cherish
mielić, szlifować;grind
dusić;choke
pluć;spit
wylać +rz;spill
spadać, ciężarek;plummet
pion;vertical
poziom;horizontal
pleść, splot;weave
powiększyć;magnify
okazja (cenowa);bargain
cipobąk;queef
składać, przedstawiać (sprawę), podporządkować się;submit
gwałtowny;fierce
skradać się, donosić +rz;sneak
wyskakiwać, wsuwać;pop
cholerny, pieprzony;fricking
żmudny;tedious
poradzić sobie, zarządzać;manage
konstrukcja podtrzymująca coś;rack
wprowadzić radosną atmosferę;exhilarate
żałować;repent
gulasz, dusić (potrawę);stew
wzdrygać się;flinch
rozpoczynać;commence
uścisk;grip
trzymaj się, uścisk;ahold
pocieszny, błazen;zany
nalewać, sypać;pour
szkic (plan miejsca);sketch
zmuszać;coerce
bezbożność, przekleństwo;profanity
łodyga;stem
wdrażać, rozmieszczać (siły zbrojne);deploy
wdrożenie;deployment
zakłócać;disrupt
przemijać;elapse
szlak, trop;trail
dbać;reck
myśleć;reckon
zmagać się;strive
boski, odgadywać;divine
domagać się, nalegać;insist
szczytowy, maksymum (z best – co najlepsze);utmost
ster;rudder
wyjście, wydajność, produkcj;output
stojak;stand
rzut monetą;toss
mapa, wykres;chart
nabyć;acquire
nabytek;acquisition
wykroczenie;offence
lok, zakręcić;curl
zwój, owijać;coil
zastrzyk;infusion
