nadmierny;excessive
zawierać, opanować;contain
ułatwić;facilitate
wspólny, połączenie;joint
skłonić;induce
obok;beside
oprócz, ponadto;besides
wymachiwać, dyndać;dangle
w celu;in order to
dalej;further
obfity, bujny;abundant
równoległa, porównanie, dorównywać;parallel
przejść się, poddawać się czemuś (np. badaniu);undergo
składać się z czegoś;consist
obierać, skórka;peel
impreza, opijać, objadać się;binge
luz, zwisać +rz;slack
w przeciwnym razie, inaczej;otherwise
przyzwoity;decent
zadziorny;feisty
gnębić;oppress
kompletny;utter
naprzód, od (np. tamtego dnia);forth
przyznawać się;concede
radosny;perky
delikatny 2;gentle, mild
przysmak;dainty
kruchy;fragile
drzazga, skrawek;sliver
dywanik, chodnik;rug
nur, gwałtowny spadek +cz;plunge
letni (temperatura);lukewarm
zdusić, powstrzymywać (jakąś czynność);stifle
spostrzeżenie, wyobrażenie;perception
zgon;decease
pyskaty 2;sassy, gobby
uczepić się czegoś (formy);cling clung clung
płyn kosmetyczny;lotion
oprzeć się, położyć w pozycji półleżącej;recline
płodny, doskonały, bujny;prolific
rozczochrać;dishevel
przyziemny, nieciekawy;mundane
przesączyć;seep
nakazywać +rz;dictate
rozbrzmiewać echem;resonate
pochłonąć;engulf
nadmiar, przelewać;overflow
udręka, ból;anguish
napięcie (jako stres);strain
przybory, blokować, opanować;tackle
szelest;rustle
oszalały;frantic
wycierać;wipe
dołączyć, przedrostek;affix
zgorzkniały, gorzki (smak);bitter
rówieśnik;peer
dziwaczny;bizzare
najmniej;least
pozbawiony (czegoś);devoid
mocny;hefty
męczący marsz;trudge
deprymować;deject
upadać na duchu;despond
zniechęcić;dishearten
przygnębiony;downhearted
spod spuszczonych oczu;downcast
podkreślać, akcentować;emphasise
łykać +rz, kęs;gulp
przechylać się;lean
posłuszny;obedient
kołysać;sway
rzucać, obsada, odlać;cast
utrudniać;impede
wola;volition
równoczesny;simultaneous
nienaganny, nieskazitelny;impeccable
obojętnie 2;apathetic, indifferent
celowy;deliberate
przechytrzyć;outwit
zakładka, podwinąć;tuck
rufa, surowy;stern
strzyknąć, zebrać;muster
typ, pęknąć +rz;chap
narzucać, przeszkadzać, niepokoić;intrude
żer, polować dla jedzenia;prey
polegać;rely
symulować;feign
uszczęśliwiać, podniecać;elate
odcień;tinge
narzekać +rz;grumble
spacerować +rz;wander
włóczęga +rz;tramp
cały czas, poprzez;throughout
ujawnić;divulge
czuły;fond
skrzywiony;wry
błądzić +przy 2;stray, astray
pocierać;rub
uprzejmy;courteous, suave
tania stawka;cheapskate
