dangerous;あぶない\n危ない
red, crimson, scarlet;あかい\n赤い
bright, light;あかるい\n明るい
sweet, sweet-tasting, sugary, naive, indulgent;あまい\n甘い
blue, azure;あおい\n青い
new, novel, fresh, recent, latest;あたらしい\n新しい
warm;あたたかい\n暖かい
thick;あつい\n厚い
hot, sultry;あつい\n暑い
hot;あつい\n熱い
small, little, tiny;ちいさい\n小さい
near, close;ちかい\n近い
old (not used for people);ふるい\n古い
fat, thick;ふとい\n太い
fast, early;はやい\n早い
fast, quick, hasty, brisk;はやい\n速い
short, low;ひくい\n低い
spacious, vast, wide;ひろい\n広い
want;ほしい\n欲しい
thin, slender;ほそい\n細い
busy;いそがしい\n忙しい
painful, sore;いたい\n痛い
spicy;からい\n辛い
light;かるい\n軽い
cute;かわいい\n可愛い
yellow;きいろい\n黄色い
dirty;きたない\n汚い
dark, gloomy, murky;くらい\n暗い
black;くろい\n黒い
round, circular;まるい\n丸い
