unpleasant;まずい\n不味い
short;みじかい\n短い
difficult;むずかしい\n難しい
long (distance), long (time), lengthy;ながい\n長い
luke warm;ぬるい\n温い
delicious;おいしい\n美味しい
heavy;おもい\n重い
interesting;おもしろい\n面白い
many, numerous, a lot, large quantity, frequent;おおい\n多い
big, large, great, important;おおきい\n大きい
slow, time-consuming, late;おそい\n遅い
cold;さむい\n寒い
narrow;せまい\n狭い
white;しろい\n白い
few, a little, scarce, insufficient, seldom;すくない\n少ない
refreshing, cool;すずしい\n涼しい
high, tall, expensive, above average;たかい\n高い
enjoyable, fun;たのしい\n楽しい
far;とおい\n遠い
boring;つまらない\n詰まらない
cold to the touch;つめたい\n冷たい
powerful;つよい\n強い
noisy, annoying;うるさい\n煩い
thin, weak;うすい\n薄い
young;わかい\n若い
bad, poor, undesirable;わるい\n悪い
easy, simple;やさしい\n易しい
cheap, inexpensive;やすい\n安い
good;よい, いい\n良い
weak;よわい\n弱い
