convenient, handy, useful;べんり\n便利
OK, okay, alright, problem free;だいじょうぶ\n大丈夫
love, like, like very much;だいすき\n大好き
lively, full of spirit, energetic, healthy;げんき\n元気
unskillful, poor, awkward;へた\n下手
free time;ひま\n暇
truth, reality, actuality, fact;ほんとう\n本当
various;いろいろ\n色々
unpleasant;いや\n嫌
strong, durable;じょうぶ\n丈夫
skillful, skilled, proficient, good (at);じょうず\n上手
splendid, enough;けっこう\n結構
hate;きらい\n嫌い
pretty, lovely, beautiful;きれい\n綺麗
straight ahead, direct;まっすぐ\n真っ直ぐ
bustling, busy;にぎやか\n賑やか
splendid;りっぱ\n立派
quiet;しずか\n静か
like;すき\n好き
perhaps, probably;たぶん\n多分
very, greatly, terribly, serious, difficult;たいへん\n大変
important, necessary, indispensable, beloved;たいせつ\n大切
many;たくさん\n沢山
famous;ゆうめい\n有名
