a little;ちょっと
exactly;ちょうど\n丁度
OK, okay, alright, problem free;だいじょうぶ\n大丈夫
gradually;だんだん
how, in what way, how about;どう
thank you, thanks;どうも
why, for what reason, how;どうして
please;どうぞ
for the first time;はじめて\n初めて
one person, alone, single;ひとり\n一人
number one, first, 1st, first place, best, most;いちばん\n一番
how, in what way, how about;いかが
how much?, how many?;いくら
how many?, how old?;いくつ
various;いろいろ\n色々
together;いっしょに\n一緒に
always, usually, habitually;いつも
splendid, enough;けっこう\n結構
still, not yet;まだ
have not yet ~;まだ～ていません
before, in front of ~;まえに\n前に
straight ahead, direct;まっすぐ\n真っ直ぐ
all, everyone, everybody;みんな
more, longer, further;もっと
already, anymore, again, other;もう
why, how;なぜ\n何故
same;おなじ\n同じ
immediately, right away, instantly;すぐに\n直ぐに
a little (bit), small quantity, few, short distance;すこし\n少し
perhaps, probably;たぶん\n多分
very, greatly, terribly, serious, difficult;たいへん\n大変
sometimes, at times;ときどき\n時々
very, awfully, exceedingly;とても
often, well;よく
slowly;ゆっくり
