must not do (spoken Japanese);ちゃいけない/じゃいけない
to be (am, is, are, were, used to);だ/です
only, just, as much as ~;だけ
I think, it seems, probably, right?;だろう
in, at, on, by, with, via ~;で
but, however, though ~;でも
I think, it seems, probably, right?;でしょう
what kind of, what sort of;どんな
why, for what reason, how;どうして
how, in what way, by what means;どうやって
subject marker, however, but ~;が
there is, is (non-living things);があります
to want something;がほしい
there is, to be, is (living things);がいます
had better, it'd be better to, should ~;ほうがいい
i-adjectives;i-adjectives
the most, the best;いちばん\n一番
together;いっしょに\n一緒に
always, usually, habitually;いつも
to not be (am not, is not, are not);じゃない/ではない
question particle;か
or;か～か
because, since, from;から
the way of doing something, how to do ~;かた\n方
but, however, although ~;けど
but, however, although ~;けれども
still, not yet;まだ
have not yet ~;まだ～ていません
