day, sun, Japan, counter for days;日
one;一
country;国
person;人
year, counter for years;年
large, big;大
ten, 10;十
two, 2;二
book, present, true, counter for long cylindrical things;本
in, inside, middle, mean, center;中
long, leader, superior, senior;長
exit, leave, go out;出
three, 3;三
time, hour;時
going, journey, carry out, line, row;行
see, hopes, chances, idea, opinion, look at, visible;見
month, moon;月
part, minute of time, understand;分
behind, back, later;後
in front, before;前
life, genuine, birth;生
five, 5;五
interval, space;間
above, up;上
east;東
four, 4;四
now, the present;今
gold;金
nine, 9;九
enter, insert;入
study, learning, science;学
tall, high, expensive;高
circle, yen, round;円
child;子
outside;外
eight, 8;八
six, 6;六
below, down, descend, give, low, inferior;下
come, due, next, cause, become;来
spirit, mind, air, atmosphere, mood;気
