little, small;小
seven, 7;七
mountain;山
tale, talk;話
woman, female;女
north;北
noon, sign of the horse;午
hundred;百
write;書
before, ahead, previous, future, precedence;先
name, noted, distinguished, reputation;名
river, stream;川
thousand;千
water;水
half, middle, odd number, semi-;半
male, man;男
west;西
electricity, electric powered;電
school, exam;校
word, speech, language;語
soil, earth, ground;土
tree, wood;木
to hear, to listen, to ask;聞
eat, food;食
car, wheel;車
what;何
south;南
ten thousand, 10,000;万
every;毎
white;白
heavens, sky, imperial;天
mother;母
fire;火
right (direction);右
to read;読
friend;友
left;左
rest, day off, retire, sleep;休
father;父
rain;雨
