red, crimson, scarlet;あか\n赤
autumn, fall;あき\n秋
rain;あめ\n雨
candy;あめ\n飴
older sister, elder sister;あね\n姉
elder brother, older brother;あに\n兄
blue, azure;あお\n青
apartment;アパート
morning;あさ\n朝
breakfast;あさごはん\n朝ご飯
day after tomorrow;あさって\n明後日
foot, leg, paw, arm;あし\n足
tomorrow;あした\n明日
head;あたま\n頭
behind, after, remainder, left, also;あと\n後
dinner, evening meal;ばんごはん\n晩ご飯
number;ばんごう\n番号
bus;バス
butter;バター
bed;ベッド
to study;べんきょう\n勉強
ball-point pen;ボールペン
button;ボタン
hat, cap;ぼうし\n帽子
sentence;ぶんしょう\n文章
pork;ぶたにく\n豚肉
hospital;びょういん\n病院
illness, disease, sickness;びょうき\n病気
brown;ちゃいろ\n茶色
rice bowl, tea cup, teacup;ちゃわん\n茶碗
father;ちち\n父
subway, underground train;ちかてつ\n地下鉄
map;ちず\n地図
kitchen;だいどころ\n台所
university, college;だいがく\n大学
exit, gateway, way out;でぐち\n出口
electricity;でんき\n電気
train, electric train;でんしゃ\n電車
telephone (call / device)l, phone call;でんわ\n電話
department store;デパート
door;ドア
who;どなた
animal;どうぶつ\n動物
Saturday;どようび\n土曜日
picture;え\n絵
yes, that is correct, right;ええ
movie, film;えいが\n映画
movie theater, cinema;えいがかん\n映画館
English language;えいご\n英語
station;えき\n駅
pencil;えんぴつ\n鉛筆
elevator;エレベーター
