film;フィルム
fork;フォーク
clothes;ふく\n服
two people, pair, couple;ふたり\n二人
two, 2;ふたつ\n二つ
the second day of the month, 2 days;ふつか\n二日
envelope;ふうとう\n封筒
winter;ふゆ\n冬
foreign country;がいこく\n外国
foreigner, foreign citizen, foreign national, alien, non-Japanese;がいこくじん\n外国人
school;がっこう\n学校
student;がくせい\n学生
entrance;げんかん\n玄関
lively, full of spirit, energetic, healthy;げんき\n元気
Monday;げつようび\n月曜日
bank;ぎんこう\n銀行
guitar;ギター
five, 5;ご\n五
afternoon, p.m.;ごご\n午後
cooked rice, meal;ごはん\nご飯
morning, a.m.;ごぜん\n午前
gram;グラム
beef;ぎゅうにく\n牛肉
(cow's) milk;ぎゅうにゅう\n牛乳
tooth;は\n歯
eight, 8;はち\n八
postcard;はがき\n葉書
mother;はは\n母
yes, that is correct;はい
ashtray;はいざら\n灰皿
box, crate;はこ\n箱
half, semi-, half-past;はん\n半
flower;はな\n花
nose;はな\n鼻
talk, speech, chat, conversation;はなし\n話
half;はんぶん\n半分
handkerchief;ハンカチ
clear weather;はれ\n晴れ
spring, springtime;はる\n春
chopsticks;はし\n箸
bridge;はし\n橋
20 years old, twenty years old;はたち\n二十歳
twentieth day of the month, 20 days;はつか\n二十日
area;へん\n辺
unskillful, poor, awkward;へた\n下手
room;へや\n部屋
left, left hand side;ひだり\n左
east;ひがし\n東
airplane, aircraft;ひこうき\n飛行機
free time;ひま\n暇
noon, midday, daytime, lunch;ひる\n昼
lunch;ひるごはん\n昼ご飯
