person, human;ひと\n人
one person, alone, single;ひとり\n一人
one thing, only;ひとつ\n一つ
other (place, thing, person), the rest;ほか
book, volume, script;ほん\n本
bookshelf, bookcase;ほんだな\n本棚
truth, reality, actuality, fact;ほんとう\n本当
hotel;ホテル
100, hundred;ひゃく\n百
one, best, first, foremost, start;いち\n一
number one, first, 1st, first place, best, most;いちばん\n一番
one day, all day;いちにち\n一日
house, residence, family;いえ\n家
pond;いけ\n池
how much?, how many?;いくら
now, the present time, soon;いま\n今
meaning, significance, sense;いみ\n意味
younger sister;いもうと\n妹
dog;いぬ\n犬
entrance, entry, gate;いりぐち\n入口
colour, color;いろ\n色
various;いろいろ\n色々
(medical) doctor, physician;いしゃ\n医者
together, at the same time, same, identical;いっしょ\n一緒
chair;いす\n椅子
the fifth day of the month, 5 days;いつか\n五日
five, 5;いつつ\n五つ
unpleasant;いや\n嫌
dictionary;じびき\n字引
automobile, motorcar, motor vehicle, car;じどうしゃ\n自動車
time, hour(s);じかん\n時間
dictionary;じしょ\n辞書
bicycle;じてんしゃ\n自転車
skillful, skilled, proficient, good (at);じょうず\n上手
lesson, class work;じゅぎょう\n授業
ten, 10;じゅう\n十
bag, basket;かばん
a vase;かびん\n花瓶
a corner, angle;かど\n角
key;かぎ\n鍵
stairs, stairway, staircase;かいだん\n階段
shopping, purchased goods;かいもの\n買い物
company, corporation;かいしゃ\n会社
camera;カメラ
paper;かみ\n紙
kanji;かんじ\n漢字
cup;カップ
body;からだ\n体
curry;カレー
calendar;カレンダー
umbrella;かさ\n傘
way of doing something;かた\n方
