household;かてい\n家庭
river, stream;かわ\n川
Tuesday;かようび\n火曜日
wind;かぜ\n風
a cold;かぜ\n風邪
family, members of a family;かぞく\n家族
policeman, police officer;けいかん\n警官
marriage;けっこん\n結婚
splendid, enough;けっこう\n結構
this morning;けさ\n今朝
tree, shrub, bush, wood, timber;き\n木
yesterday;きのう\n昨日
Friday;きんようび\n金曜日
ticket;きっぷ\n切符
hate;きらい\n嫌い
kilogram;キログラム
kilometer;キロメートル
coffee shop, tearoom, cafe;きっさてん\n喫茶店
north;きた\n北
stamp (postage);きって\n切手
this person or way;こっち
this way, this direction;こちら
child;こども\n子供
voice;こえ\n声
ninth day of the month, 9 days;ここのか\n九日
nine, 9;ここのつ\n九つ
tonight, this evening;こんばん\n今晩
this month;こんげつ\n今月
this week;こんしゅう\n今週
coffee;コーヒー
coat;コート
copy, photocopy;コピー
glass (drinking vessel), tumbler;コップ
word, words;ことば\n言葉
this year;ことし\n今年
police box;こうばん\n交番
black tea;こうちゃ\n紅茶
park;こうえん\n公園
intersection;こうさてん\n交差点
mouth, opening;くち\n口
fruit;くだもの\n果物
cloudiness, cloudy weather;くもり\n曇り
country, state, region;くに\n国
class;クラス
black;くろ\n黒
car, automobile, vehicle;くるま\n車
medicine;くすり\n薬
shoes;くつ\n靴
socks;くつした\n靴下
last year;きょねん\n去年
today, this day;きょう\n今日
siblings, brothers and sisters, mate;きょうだい\n兄弟
