classroom;きょうしつ\n教室
nine, 9;きゅう\n九
match;マッチ
town, block, neighborhood;まち\n町
window;まど\n窓
previous, before, in front, ago;まえ\n前
every morning;まいあさ\n毎朝
every night;まいばん\n毎晩
every day;まいにち\n毎日
every week;まいしゅう\n毎週
every year, yearly, annually;まいとし / まいねん\n毎年
every month, monthly;まいつき\n毎月
10,000, ten thousand;まん\n万
fountain pen;まんねんひつ\n万年筆
straight ahead, direct;まっすぐ\n真っ直ぐ
eye;め\n目
metre, meter;メートル
glasses;めがね\n眼鏡
road, street;みち\n道
green;みどり\n緑
right, right hand side;みぎ\n右
the third day of the month, 3 days;みっか\n三日
ear, hearing;みみ\n耳
south;みなみ\n南
everyone;みなさん\n皆さん
all, everyone, everybody;みんな
store, shop, establishment, restaurant;みせ\n店
three, 3;みっつ\n三つ
water, fluid, liquid;みず\n水
Thursday;もくようび\n木曜日
gate;もん\n門
problem, question (e.g. on a test);もんだい\n問題
thing;もの\n物
sixth day of the month, 6 days;むいか\n六日
over there;むこう\n向こう
village;むら\n村
six, 6;むっつ\n六つ
knife;ナイフ
inside, in, within, center;なか\n中
name, full name, given name;なまえ\n名前
seven, 7;ななつ\n七つ
seventh day of the month, 7 days;なのか\n七日
summer;なつ\n夏
summer vacation, summer holiday;なつやすみ\n夏休み
cat;ねこ\n猫
tie, necktie;ネクタイ
two, 2;に\n二
Sunday;にちようび\n日曜日
diary, journal;にっき\n日記
meat;にく\n肉
luggage, baggage;にもつ\n荷物
west;にし\n西
