garden;にわ\n庭
drink, beverage;のみもの\n飲み物
notebook;ノート
news;ニュース
grandmother;おばあさん
aunt, old lady;おばさん\n伯母さん
lunch box, Japanese box lunch;おべんとう\nお弁当
tea;おちゃ\nお茶
bath;おふろ\nお風呂
uncle, old man, mister;おじさん\n伯父さん
mother, mom, mum, ma;おかあさん\nお母さん
money;おかね\nお金
confections, sweets, candy;おかし\nお菓子
wife, your wife, his wife;おくさん\n奥さん
police officer (friendly term for policeman);おまわりさん\nお巡りさん
same;おなじ\n同じ
stomach;おなか\nお腹
elder sister, young lady, miss, ma'am;おねえさん\nお姉さん
music;おんがく\n音楽
older brother, elder brother, young man, buddy;おにいさん\nお兄さん
woman, female sex;おんな\n女
girl, daughter, young women;おんなのこ\n女の子
crowd of people, great number of people;おおぜい\n大勢
alcohol;おさけ\nお酒
plate, dish;おさら\nお皿
toilet, restroom, lavatory, bathroom;おてあらい\nお手洗い
man, male;おとこ\n男
boy, male child, baby boy;おとこのこ\n男の子
adult;おとな\n大人
day before yesterday;おととい\n一昨日
year before last;おととし\n一昨年
father, dad, papa, pa, pop, daddy;おとうさん\nお父さん
younger brother;おとうと\n弟
party;パーティー
bread;パン
page;ページ
pen;ペン
pet;ペット
pocket;ポケット
post;ポスト
swimming pool;プール
next month;らいげつ\n来月
next year;らいねん\n来年
next week;らいしゅう\n来週
radio;ラジオ
zero;れい\n零
refrigerator;れいぞうこ\n冷蔵庫
record;レコード
practice, practicing;れんしゅう\n練習
restaurant;レストラン
six, 6;ろく\n六
corridor, hallway, passageway;ろうか\n廊下
