travel, trip, journey, excursion, tour;りょこう\n旅行
cuisine;りょうり\n料理
parents, both parents;りょうしん\n両親
overseas student, exchange student;りゅうがくせい\n留学生
purse, wallet;さいふ\n財布
fish;さかな\n魚
previous, prior, first, earlier;さき\n先
writing, composition;さくぶん\n作文
three, 3;さん\n三
walk, stroll;さんぽ\n散歩
year after next;さらいねん\n再来年
sugar;さとう\n砂糖
height, stature, back, spine;せ\n背
business suit;せびろ\n背広
sweater, jumper;セーター
pupil, student;せいと\n生徒
soap;せっけん\n石鹼
1,000, thousand;せん\n千
last month;せんげつ\n先月
teacher, instructor, master;せんせい\n先生
last week;せんしゅう\n先週
washing, laundry;せんたく\n洗濯
photograph, photo;しゃしん\n写真
shirt;シャツ
shower;シャワー
four, 4;し\n四
seven, 7;しち\n七
work, job, business;しごと\n仕事
newspaper;しんぶん\n新聞
salt;しお\n塩
white, innocence, innocent person;しろ\n白
below, down, under, bottom;した\n下
question, inquiry;しつもん\n質問
cafeteria, dining room;しょくどう\n食堂
soy sauce;しょうゆ\n醬油
homework, assignment, pending issue;しゅくだい\n宿題
near, beside;そば
sky, the air;そら\n空
outside, exterior;そと\n外
to clean, to sweep;そうじ\n掃除
Wednesday;すいようび\n水曜日
skirt;スカート
like;すき\n好き
a little (bit), small quantity, few, short distance;すこし\n少し
sport, sports;スポーツ
spoon;スプーン
slipper, slippers;スリッパ
heater, stove;ストーブ
tobacco, cigarette;たばこ
food;たべもの\n食べ物
very, greatly, terribly, serious, difficult;たいへん\n大変
important, necessary, indispensable, beloved;たいせつ\n大切
