only, just, as much as ~;だけ
subject marker, however, but ~;が
question particle;か
or;か～か
because, since, from;から
but, however, although ~;けど
but, however, although ~;けれども
until, as far as, to (an extent), even ~;まで
too, also, as well;も
sentence ending particle, confirmation, admiration, etc;なあ
to explain something, show emphasis;んです
isn't it?, right?, eh?;ね
destination particle, in, at, on, to;に
to (indicates direction / destination);に/へ
possessive particle;の
to explain something, show emphasis;のです
because of, given that, since ~;ので
polite marker, honorific prefix particle;お / ご
object marker particle;を
do such things as A and B;たり～たり
and, with, as, connecting particle;と
topic marker;は
and, or, connecting particle;や
you know, emphasis (ending particle);よ
[2] is more than [1];より～ほうが
