to bathe, to shower;あびる\n浴びる
to raise, to elevate, to give;あげる\n上げる
to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock;あける\n開ける
to open (e.g. doors, business, etc);あく\n開く
to wash;あらう\n洗う
to be, to have;ある
to walk;あるく\n歩く
to play, to enjoy oneself;あそぶ\n遊ぶ
to meet, to encounter, to see;あう\n会う
to study;べんきょう\n勉強
to differ;ちがう\n違う
to take out, to get out, to put out, to reveal;だす\n出す
to go out, to leave, to depart;でかける\n出かける
telephone (call / device)l, phone call;でんわ\n電話
to leave, to exit, to appear, to go out;でる\n出る
to blow (of the wind);ふく\n吹く
to fall;ふる\n降る
to enter, to go into;はいる\n入る
to begin;はじまる\n始まる
to wear, to put on trousers;はく\n履く
to speak, to talk, to converse;はなす\n話す
to be sunny;はれる\n晴れる
to stick, to paste;はる\n貼る
to run;はしる\n走る
to work;はたらく\n働く
to pull;ひく\n引く
to play;ひく\n弾く
to go, to move;いく\n行く
to put in, to let in, to take in, to bring in, to insert, to install;いれる\n入れる
to be needed;いる
to be, to have;いる\n居る
to say, to call;いう\n言う
lesson, class work;じゅぎょう\n授業
to go back;かえる\n帰る
to return something;かえす\n返す
to take (a resource, e.g. time or money);かかる\n掛かる
to hang up, to make (a call);かける\n掛ける
to write, to compose, to pen, to draw;かく\n書く
to borrow;かりる\n借りる
to lend, to loan;かす\n貸す
