to buy, to purchase;かう\n買う
marriage;けっこん\n結婚
to erase, to turn off power;けす\n消す
to disappear;きえる\n消える
to hear, to listen (to music), to ask, to learn of;きく\n聞く
to cut;きる\n切る
to wear;きる\n着る
to be troubled;こまる\n困る
copy, photocopy;コピー
to answer;こたえる\n答える
to become cloudy, to become dim;くもる\n曇る
to come;くる\n来る
to turn, to bend;まがる\n曲がる
to wait;まつ\n待つ
to polish, to shine, to brush (e.g. teeth);みがく\n磨く
to see, to look, to watch, to view, to observe;みる\n見る
to show, to display;みせる\n見せる
to hold;もつ\n持つ
animal noise. to chirp;なく\n鳴く
to lose (something);なくす\n無くす
to line up,to set up;ならべる\n並べる
to line up,to stand in a line;ならぶ\n並ぶ
to be taught, to learn (from a teacher);ならう\n習う
to sleep, to go to bed, to lie down;ねる\n寝る
to climb;のぼる\n登る
to drink;のむ\n飲む
to get on (train, plane, bus, ship, etc.);のる\n乗る
to take off clothes;ぬぐ\n脱ぐ
to remember;おぼえる\n覚える
to get up, to wake up;おきる\n起きる
to put, to place;おく\n置く
to get off;おりる\n降りる
to teach;おしえる\n教える
to push, to press;おす\n押す
to finish, to end;おわる\n終わる
to swim;およぐ\n泳ぐ
practice, practicing;れんしゅう\n練習
travel, trip, journey, excursion, tour;りょこう\n旅行
cuisine;りょうり\n料理
to bloom;さく\n咲く
