walk, stroll;さんぽ\n散歩
to stretch out hands, to raise an umbrella;さす\n差す
washing, laundry;せんたく\n洗濯
work, job, business;しごと\n仕事
to close, to be closed;しまる\n閉まる
to close, to shut;しめる\n閉める
to tie, to fasten, to tighten;しめる\n締める
to die;しぬ\n死ぬ
to know;しる\n知る
question, inquiry;しつもん\n質問
to clean, to sweep;そうじ\n掃除
to live in, to reside, to inhabit, to dwell, to abide;すむ\n住む
to smoke, to suck;すう\n吸う
to sit;すわる\n座る
to eat;たべる\n食べる
to ask;たのむ\n頼む
to stand, to stand up;たつ\n立つ
examination, quiz, test;テスト
to fly, to hop;とぶ\n飛ぶ
to stop, to come to a halt;とまる\n止まる
to take, to pick up, to harvest, to earn, to win, to choose;とる\n取る
to take a photo or record a film;とる\n撮る
to get tired;つかれる\n疲れる
to use;つかう\n使う
to turn on;つける
to attach, affix, add, apply;つける\n付ける
to arrive at;つく\n着く
to make;つくる\n作る
to work for someone;つとめる\n勤める
to be born;うまれる\n生まれる
to sell;うる\n売る
to sing;うたう\n歌う
to understand, to comprehend, to grasp, to see, to get, to follow;わかる\n分かる
to forget;わすれる\n忘れる
to go across;わたる\n渡る
to hand over;わたす\n渡す
to do;やる
to be absent, to take a day off, to rest;やすむ\n休む
to call out, to invite;よぶ\n呼ぶ
to read, to guess, to predict, to read (someone's thoughts);よむ\n読む
