I (very formal);私 - わたくし
I (formal, informal);私 - わたし
I (informal, female, kinda childish);あたし
I (informal, male);僕 - ぼく
I (very informal, male);俺 - おれ
You (formal, informal);貴方 - あなた
Honorific -sama;様 - さま
You (informal, honorific -kun);君 - きみ
You (very informal, rude, superior);お前 - おまえ
You (very informal);あんた
You (hostile);貴様 - きさま
He;彼 - かれ
She;彼女 - かのじょ
We;私達 - わたしたち
You (plural);あなた達 - あなたたち
You (plural, formal only);あなた方 - あなたがた
They (he, plural);彼ら - かれら
They (she, plural);彼女ら - かのじょら
Mine;私の - わたしの
Yours;貴方の - あなたの
His;彼の - かれの
Hers;彼女の - かのじょの
Ours;私達の - わたしたちの
Theirs;彼らの - かれらの
Myself;私自身 - わたしじしん
Yourself;貴方自身 - あなたじしん
Himself;彼自身 - かれじしん
Herself;彼女自身 - かのじょじしん
Ourselves;私達自身 - わたしたちじしん
Themselves;彼ら自身 - かれらじしん
This (near speaker);これ
it (near listener);それ
that (distant from both);あれ
these (near speaker);これら
those (near listener, distant from both) 2;それら, あれら
here (near speaker);ここ
there (near listener);そこ
over there (distant from both);あそこ
what;何 - なに
which;どの, どれ
who;誰 - だれ
whom;誰に - だれに
whose;誰の - だれの
when;いつ
why;なぜ
everyone, everybody 2;皆, 誰でも - みんな, だれでも
everywhere 2;どこでも, どこにも
everything 2;全て, 全部 - すべて, ぜんぶ
someone, somebody;誰か - だれか
somewhere;どこか
something;何か - なにか
no one, nobody;誰も...ない - だれも...ない
nowhere;どこにも...ない
nothing;何も...ない - なにも...ない
anyone, anybody;誰でも - だれでも
anywhere 2;どこでも, どこにも
anything;何でも - なんでも
whole, complete, fulfill;全 - すべ
department;部 - ぶ
oneself;自 - じ
somebody;身　- しん
self form;自身 - じしん
plural form;達 - たち
That person;あの人 - あのひと
precious, value, prize, esteem;貴 - とうと（い）
direction, person;方 - -がた, なた
