Is this room bright?;この へや は あかるい ですか。
Yes. This room is bright.;はい。この へや は あかるい です。
No. This room isn't bright.;いいえ。この へや は あかるくない です。
How are you?;おげんき ですか。\nお元気ですか。
I'm fine;げんき です。\n元気です。
(Negative) delicious;おいしくない
(Negative) cheap;やすくない
(Negative) old;ふるくない
(Negative) scary;こわくない
(Negative) easy;かんたんじゃない
(Negative) weird;へんじゃない
(Negative) hard;たいへんじゃない
(Negative) quite;しずかじゃない
(particle) like;が すき
(particle) hate;が きらい
(particle) good, fluent;が じょうず
(particle) to be bad at something;が へた
(particle) to be good at something (subjective);が とくい
(particle) to be bad at something (subjective, polite);が にがて
room;へや
