What month and what day is Christmas at?;クリスマスは何月何日ですか。\nクリスマス は なん がつ なん にち ですか。
Christmas is at 25th december.;クリスマスは１２月２５日です。\nクリスマス は １２がつ ２５にち です。
When is marine day at?;うみの日 は いつ ですか。
Marine day is at third monday of july.;うみの日は７月だい３月曜日です。\nうみ の ひ は ７がつ だい げつようび です。
I watch movie at tuesday next week;らいしゅうの火曜日にえいがを見ます。\nらいしゅう の かようび に えいが を みます。
～がつ、 ～にち、 ～ようび、 ～じ => ( );～がつ、～にち、～ようび、～じ => (に)
きょう、 こんしゅう、 らいげつ、 らいねん => ( ); きょう、 こんしゅう、 らいげつ、 らいねん => (X)
What is on sunday at łazienki park?;日曜日にワジェンキこうえんで何がありますか。
On sunday in łazienki park there is piano concert.;日曜日にワジェンキこうえんでピアノコンサートがありますか。
～th from the row.;だい
I'm going to buy soy sauce.;じょうゆを買いに行きま。\nしょうゆ を かい に いきます。
I'm going to eat sushi.;すしを食べに行きま。\nすし を たべに いきます。
Patryk what are you going to do in home?;パトリックさんはうちに何をしに行きますか。\nパトリックさん は うち に なに を し に いきますか。
I'm going to read book in home.;私はうちに本を読みに行きます。\n私 は うち に ほん を よみ に いきます。
