Today I'm going to Sakura.\n(Now I'm at home.);きょう さくら に いきます。\n今日さくらに行きます。
Tomorrow I'm also going to Sakura.\n(I'm at Sakura now.);あした も さくら に きます。\n明日もさくらに来ます。
I'm going back home.\n(I'm at Sakura now.);うち に かえります。
I'm going (on my way) to Patryk's house.;パトリックさん の うち に いきます。\nパトリックさんのうちに行きます。
Patrycja is coming to my house.\n(I'm at home.);パトリツィアさん が 私 の うち に きます。
Today I arrived at Sakura.\n(And I'm still there.);きょう さくら に きました。\n今日さくらに来ました。
I came back home.\n(A while ago.);うち に かえるました。
Today I went to Sakura.\n(I'm back home now.);きょう さくら に いきました。\n今日さくらに行きました。
I came to Patrycja's house.\n(And I'm still there.);パトリツィアさん の うち に きました\nパトリツィアさんのうちに来ました。
Patryk came to my house.\n(And is still there.);パトリックさん が 私 の うち に きました。\nパトリックさんが私のうちに来ました。
(I'm at Biedronka now.)\nI came to Biedronka.;Biedronkaにきました。\nBiedronkaに来ました。
(I'm in Warszawa. Mom is in Krakow.)\nTomorrow mom is coming to Warszawa.;あした はは が Warszawa に きます。\n明日母がWarszawaに来ます。
Next week my friend is coming to Tokyo.\n(To visit me.);らいしゅう 私 の ともだち が とうきょう に きます。\n来週私の友達が東京に来ます。
