What is in the classroom?;きょうしつ に なに が ありますか。
There are chairs in the classroom.;きょうしつ に いす が あります。
Who is in the classroom?;きょうしつ に だれ が いますか。
There are students in the classroom.;きょうしつ に がくせい が います。
What is in the park?;こうえん に なに が いますか。
There is a dog in the park.;こうえん に いぬ が います。
How many apples are in the vegetable store?;やおや に りんご が いくつ ありますか。
There are 4 apples in the vegetable store.;やおや に りんご が よっつ あります。
vegetable store;やおや
how many;いくつ
of course;もちろん
to have (living)♥;います
to have (non living);あります
one thing;ひとつ\n一つ
two things;ふたつ\n二つ
three things;みっつ\n三つ
four things;よっつ\n四つ
five things;いつつ\n五つ
six things;むっつ\n六つ
seven things;ななつ\n七つ
eight things;やっつ\n八つ
nine things;ここのつ\n九つ
ten things;とお\n十
eleven things (and more);じゅういち (こ)
