Would you like to drink coffee together at a cafe?;いっしょに きっさてん で コーヒー を 飲み ませんか。
Would you like to go drink tea together at my house?;いっしょに 私 の うち に おちゃ を 飲み に いきませんか。
Yes, let's drink coffee.;いい です よ。 コーヒー を 飲みましょう。
Today is a little bit.... I'm sorry;今日 は ちょっと...。 すみません。
-This month there is a movie in sakura.\n-When?;-こん げつ さくら で えいがかい が ありますよ。\n-いつですか。
At 1st January. Do you want to go watch together?;1月1日です。 いっしょに見に行きませんか。\nいち がつ ついたち です。いっしょに み に いきませんか。
That sounds good. Let's go.;いいですね。 行きましょう
The 1st is a little.. I'm sorry.;1日 は ちょっと..。 すみません。
Then bye, let's be in touch. (message);じゃあ、 また メッセージ します ね。
Oh, that's unfortunate.;そうですか。 ざんねんです。
Patryk what do you want for Christmas?;パトリックさん は クリスマス に 何 が ほしいですか。
I want a hat for Christmas.;クリスマス に ぼうし が ほしいです。
Patryk do you want a book?;パトリックさん は 本 が ほしいですか。
Yes, I want a book.;はい、本がほしいです。
No, I don't want a book.;いいえ、本 は ほしくないです。
handkerchief;ハンカチ
postcard;えはがき
