Where is apple?;りんご は どこ ですか。
Apple is on the box.;りんご は はこ の うえ です。
Apple is inside the box.;りんご は はこ の なか です。
Apple is under the box.;りんご は はこ の した です。
Apple is next to banana.;りんご は はこ の となり です。
Apple is between box and banana.;りんご は はこ と バナナ の あいだ です。
Apple is next to box.;りんご は はこ の よこ です。
In front of a station.;えき の まえ です。
Where is coffee shop? (longer);きっさてん は どこ に ありますか。
Coffee shop is next to train station. (longer);きっさてん は えき の よこ に あります。
Coffee shop is not next to train station. (longer);きっさてん は えき の よこ に は あません。
Please go straight.;まっすぐ いって ください。
Please go right.;みぎ に いって ください。
Please go left.;ひだり に いって ください。
What is the cat like? (animal type);猫 は どんな どうぶつ ですか。
Cat is cute. (animal type);猫 は かわいい どうぶつ です。
Cat is weird. (animal type);猫 は へんな どうぶつ です。
On, above;うえ
Inside;なか
Under;した
Next to (general);よこ
In front;まえ
Behind;うしろ
Right next to (more precisely);となり
Close to;ちかく
Between;xとyのあいだ
Straight;まっすぐ
Right;みぎ
Left;ひだり
Then;そして
Soon;すぐ
Religion;しゅうきょう
