January;いちがつ\n一月
February;にがつ\n二月
March;さんがつ\n三月
April;しがつ\n四月
May;ごがつ\n五月
June;ろくがつ\n六月
July;しちがつ\n七月
August;はちがつ\n八月
September;くがつ\n九月
October;じゅうがつ\n十月
November;じゅういちがつ\n十一月
December;じゅうにがつ\n十二月
the day before yesterday;おととい
yesterday;きのう\n昨日
today;きょう\n今日
tomorrow;あした\n明日
the day after tomorrow;あさって
two weeks ago;にしゅうかんまえ\n二週間前
last week;せんしゅう\n先週
this week;こんしゅう\n今週
next week;らいしゅう\n来週
the week after next week;さらいしゅう\n再来週
two months ago;にかげつまえ\n二か月前
last month;せんげつ\n先月
this month;こんげつ\n今月
next month;らいげつ\n来月
the month after next month;さらいげつ\n再来月
the year before last year;おととし
last year;きょねん\n去年
this year;ことし\n今年
next year;らいねん\n来年
the year after next year;さらいねん\n再来年
