plus +;たす
equals =;わ
minus -;ひく
zero;ゼロ、れい\n零
one;いち\n一
two;に\n二
three;さん\n三
four;よん、し\n四
five;ご\n五
six;ろく\n六
seven;なな、しち\n七
eight;はち\n八
nine;きゅう、く\n九
ten;じゅう\n十
eleven;じゅういち\n十一
twelve;じゅうに\n十二
thirteen;じゅうさん\n十三
fourteen;じゅうよん、じゅうし\n十四
fifteen;じゅうご\n十五
sixteen;じゅうろく\n十六
seventeen;じゅうなな、じゅうしち\n十七
eighteen;じゅうはち\n十八
nineteen;じゅうきゅう、じゅうく\n十九
twenty;にじゅう\n二十
thirty;さんじゅう\n三十
forty;よんじゅう\n四十
fifty;ごじゅう\n五十
sixty;ろくじゅう\n六十
seventy;ななじゅう\n七十
eighty;はちじゅう\n八十
ninety;きゅうじゅう\n九十
hundred;ひゃく\n百
thousand;せん\n千
ten thousand;まん\n万
