Patryk were you working yesterday?;パトリックさん は きのう しごと を しましたか。
Yes. I was working yesterday.;はい。私 は きのう しごと を しました。
No. I wasn't working yesterday.;いいえ。私 は きのう しごと は しませんでした。
Patryk what were you doing yesterday?;パトリックさん は きのう なに を しましたか。
Yesterday I was watching a movie.;私 は きのう えいが を よみました。
What time were your japanese lesson?;にほんご の じゅきょう は なん じ まで ですか。
Japanese lesson was from 7:30pm to 9:00pm.;にほんご の じゅきょう は　ごご ７ じ はん から ９ じ まで です。
from 9 to 5;く じ から ご じ まで。\n９時 から ５時 まで。
monday;げつようび\n月曜日
tuesday;かようび\n火曜日
wednesday;すいようび\n水曜日
thursday;もくようび\n木曜日
friday;きんようび\n金曜日
saturday;どようび\n土曜日
sunday;にちようび\n日曜日
last week;せんしゅう
this week;こんしゅう
next week;らいしゅう
today;きょう
yesterday;きのう
tomorrow;あした
go to english school;えいご の がっこう に いきます。
go to hospital;びょういん に いきます。
play tennis;テニス を します。
younger sister to come;いもうと が きます。
go shopping with friends;ともだち と かいもの に いきます。
with;と
art gallery;びじゅつかん
museum;はくぶつかん
go to museum;はくぶつかん に いきます。
concert;コンサート
party;パーティー
go to concert;コンサート に いきます。
have a meal with friends;ともだち と しょくじ を します。
have a meal;しょくじ を します
past;かこ
