Patryk are you office worker?;パトリックさん は かいしゃいん ですか。
Yes. I am office worker;はい。私 は かいしゃいん です。
No. I'm not office worker. I am programmer;いええ。私 は かいしゃいん じゃない です。プログラマー です。
Ohh I see;そうですか。
My name is Patryk;私　は パトリック です。
Nice to meet you (first expression);はじめまして。
Nice to meet you (last expression);どうぞ よろしく。
Nice to meet you (last formal);よろしく おねがいします。
I am office worker;私 は かいしゃいん です。
What's your job?;おしごとは。
What's your name?;おなまえは。
self-introduction;じごしょうかい
name;なまえ
job;しごと
student;がくせい
elementary school student(1st-6th);しょうがくせい
secondary school school(7st-9th);ちゅうがくせい
high school school(10st-12th);こうこうせい
university student;だいがくせい
teacher;きょうし
clerk;こうむいん
house wife;しゅふ
engineer;エンジニア
office worker;かいしゃいん
programmer;プログラマー
