Next week I am playing tennis. What suits you best?;らいしゅう テニス を します。いつ が いいですか。\n来週テニスをします。いつがいいですか。
Saturday suits me.;どようび が いいです。\n土曜日 が いいです。
I cannot on tuesday. How about wednesday.;かようび は だめです。すいようび は どうですか。\n火曜日はだめです。水曜日はどうですか。
Fine. What time suits you?;いいですよ。なん じ が いいですか。\nいいですよ。何時 いいですか
5pm suits me.;ごご ５ じ が いいです。\n午後5時いいです。
I understand. So Saturday at 5pm.;わかりました。じゃあ土曜日のごご５じに。\nわかりました。じゃあ土曜日の午後5時に。
What are you doing on monday next week?;らいしゅう の げつようび に なに を しますか。\n来週の月曜日に何をしますか。
On monday next week I am learning japanese;らいしゅう の げつようび に にほん ご を べんきょうします。\n来週の月曜日に日本語をべんきょうします。
On what hours biedronka is open at mondays?;ビエヅロンカ は げつようび は なん じ から なん じ まで ですか。\nビエヅロンカは月曜日は何時から何時までですか。
At mondays biedronka is open from 6am to 11pm.;げつようび は ごぜん ６ じ から ごご １１ じ まで です。\n月曜日は午前６時から午後１１時までです。
Which day is it closed?;やすみ は なん ようび ですか。\n休みは何曜日ですか。
It's closed at sundays.;やすみ は にちようび です。\n休みは日曜日です。
It's not closed at all.;やすみ は ありません。\n休みはありません。
On what hours are you eating breakfast?;なん じ から なん じ まで あさ ごはん を たべますか。\n何時から何時まであさごはんを食べますか。
I am eating breakfast from 7am to 7:30am.;７ じ から ７ じ はん まで あさ ごはん を たべます。\n７時から７時半まであさごはんを食べます。
When are you coming back home?;いつも なん じ に うち に かえりますか。\nいつも何時にうちにかえりますか。
I am coming back home at 2:30pm;ごご ２ じ はん に うち に かえります。\n午後２時半にうちにかえります。
How long are you usually sleeping?;いつも なん じ かん ねますか。\nいつも何時間ねますか。
I am sleeping 8 hours.;８じかんねます。\n８時間ねます。
when;いつ
non working day;やすみ\n休み
time interval;じかん\n時間
30 minutes (interval);３０ぷん
1 hour (interval);１じかん\n１時間
about 2 hours 30 minutes (interval);２ じ かん はん ぐらい\n2時間半ぐらい。
overtime;ざんぎょう
meal;しょくじ
