Patryk what are you watching?;パトリックさん は なに を みます か。
I am watching photo;私 は しゃしん を みます。
Patryk are you watching a movie?;パトリックさん は えいが お みます か。
Yes. I am watching a movie.;はい。私 は えいが を みます。
No. I am not watching a movie.;いいえ。私 は えいが は みません。
Patryk about what time do you eat breakfast?;パトリックさん は いつも なんじ ごろ あさごはん を たべますか。\nパトリックさん は いつも 何時 ごろ あさごはん を 食べますか。
I eat breakfast about 5:20 in the morning.;私 は あさ の ご じ に じゅっぷん ごろ あさごはん を たべます。\n私 は あさ の 五時二十分 ごろ あさごはん を 食べます。
Patryk what time do you wake up?;パトリックさん は いつも なんじ に おきますか。\nパトリックさん は いつも 何時 に おきますか。
I wake up at 5:00 in the morning.;私 は あさ の ご じ に おきます。\n私 は あさ の 五時 に おきます。
I don't read newspaper.;私 は しんぶん は よみません。
Patryk when do you take a shower?;パトリックさん は いつも いつ シャワー を あびますか。
I take a shower in the evening.;私 は いつも よる シャワー を あびます。
to watch;みます
to listen;ききます
to write;かきます
to buy;かいます
to read;よみます
to do;します
photo;しゃしん
movie;えいが
painting;え
to wake up;おきます
eat breakfast;あさごはん を たべます
read newspaper;しんぶん を よみます
go to school;がっこう に いきます
go to office;かいしゃ に いきます
do the job;しごと を します
eat lunch;ひるごはん を たべます
come back home;うち に かえります
eat dinner;ばんごはん を たべます
write diary;にっき を かきます
take a bath;おふろ に はいります
take a shower;シャワー を あびます
morning;あさ
day time;ひる
evening;よる
to sleep;ねます
when;いつ
を -> ?;を -> は
に -> ?;に -> に
と -> ?;と -> と
