Delicious;おいしいです
Awful, not my taste;まずいです
Expensive;たかいです
Cheap;やすいです
Fast;はやいです
Slow;おそいです
Big;おおきです
Small;ちいさいです
Hot weather;あついです
Cold weather;さむいです
Hot liquid,thing;あついです
Cold liquid, thing;つめたいです
Tall;たかいです
Low, short;ひくいです
Tall person;せがたかいです
Short person;せがひくいです
Good;いいです
Not good;よくないです
Bad;わるいです
New;あたらしいです
Old (for things);ふるいです
Bright, happy;あかるいです
Dark, dull;くらいです
Spacious, wide;ひろいです
Narrow, cramped, tight;せまいです
Long;ながいです
Short;みじかいです
Close;ちかいです
Far;とおいです
Interesting, funny;おもしろいです
Amusing, pleasant, having fun;たのしいです
Boring;つまらないです
Loud;うるさいです
Difficult;むずかしいです
Busy;いそがしいです
Cute;かわいいです
Handsome, cool;かっこいいです
Not handsome, not cool;かっこよくないです
Kind (someone close);やさしいです
Scary;こわいです
Terrible, awful;ひどいです
Dirty;きたないです
Like;すきです
Negative like;すきじゃないです
Hate;きらいです
Negative hate;きらいじゃないです
Good, skilled;じょうずです
Negative good, skilled;じょうずじゃないです
To be bad at something;へたです
Negative to be bad at something;へたじゃないです
To be good at something;とくいです
Negative to be good at something;とくいじゃないです
Not good at something, polite;にがてです
Negative to not be good at something;にがてじゃないです
Lively;にぎやかです
Negative lively;うるさいです
Quiet;しずかです
Pretty, clean;きれいです
Famous;ゆうめいです
Convenient, handy;べんりです
Easy;かんたんです
Energetic, healthy;げんきです
Kind (ex. stranger);しんせつです
Free, available, not busy;ひまです
Weird;へんです
Hard (day);たいへんです
