busy;いそがしい
cushion;ざぶとん
foreigner;がいこくじん
dandelion;たんぽぽ
cliff;がんぺき
photograph;しゃしん
reading;どくしょ
distance;きょり
to chill;ひやす
brown;ちゃいろ
stamp;きって
more;もっと
husband;しゅじん
prisoner;しゅうじん
parent;おや
landlord;おおや
century;せいき
seat;せき
doctor;おいしゃさん
handshake, grip;あくしゅ
new year;おしょうがつ
gate;もん
progress;しんぽ
simple;かんたん
answer;へんじ
gold;きん
entrance;げんかん
walk;さんぽ
whole;ぜんぶ
this time;こんど
inconvenient;ふべん
silver;ぎん
literature;ぶんがく
how many sheets;なんまい
laundry;せんたく
how many people;なんにん
center;まんなか
popularity;にんき
this evening;こんばん
human being;にんげん
not very;あんまり
convenient;べんり
not very, not that much;そんなに
relief;あんしん
relation;かんけい
please;どうぞ
bank;ぎんこう
high school;こうこう
8th day;ようか
hat;ぼうし
truth;ほんとう
automobile;じどうしゃ
airplane;ひこうき
over there;むこう
preparation;ようり
park;こうえん
cleaning;そうじ
major;せんこう
tokyo university;とうだい
reward;ほうび
many;おおい
big;おおきい
10 (counting);とお
main street;おおどおり
street;とおり
cheek;ほお
pass through;とおる
wolf;おおかみ
ice;こおり
to cover;おおう
