laptop;パソコン
smartphone;スマホ
pen;ベン
tv;テレビ
radio;ラジオ
CD;シーディー
news;ニュース
game;ゲーム
rule;ルール
okay;オーケー
cake;ケーキ
wear;ウエア
coke;コーク
kiwi;キウイ
cocoa;ココア
suit;スーツ
set;セット
socks;ソックス
tacos;タコス
cheese;チーズ
thailand;タイ
deck;デッキ
canoe;カヌー
herb;ハーブ
bikini;ビキニ
nuts;ナッツ
pet;ペット
connection;コネ
happy;ハッピー
necktie;ネクタイ
notebook;ノート
mood;ムード
mini;ミニ
yacht;ヨット
user;ユーザー
cap;キャップ
stew;シチュー
shock;ショック
harmonica;ハーモニカ
europe;ヨーロッパ
wax;ワックス
roulette;ルーレット
africa;アフリカ
ramen noodles;ラーメン
shakespeare;シェークスピア
check-in;チェックイン
yogurt;ヨーグルト
orange juice;オレンジジュース
fries;フライドポテト
salad;サラダ
chocolate;チョコレート
coffee;コーヒー
sandwitch;サンドイッチ
steak;ステーキ
spaghetti;スパゲッティ
pizza;ピザ
toast;トースト
lemon tea;レモンティー
pen;ペン
eraser;けしゴム
motorbike;バイク
swimming pool;プール
