Room;へや
Apartment house (small);アパート
Apartment house (tall);マンション
Single-family-house;いっこだて
Box;はこ
Shelf;たな
Cup;カップ
Doll;にんぎょう
Mermaid;にんぎょ
Table;テーブル
Watch, clock;とけい
Garden;にわ
Kitchen;だいどころ
Bathroom;おふろ
Toilet;トイレ
Entrance;げんかん
Countertop;カウンター
Sink;シンク
Carpet;カーペット
Scissors;はさみ
Drawer;ひきだし
Shopping bag;ふくろ
Park, playground;こうえん
Desk;つくえ
Chair;いす
Bank;ぎんこう
Shop;みせ
Hotel;ホテル
Temple (buddhism);おてら (ぶっきょう)
Shrine (shinto);じんじゃ (しんとう)
Building;ビル
Department store, gallery;デパート
Train station;えき
Church;きょうかい
Racket;ラケット
Door;ドア
AC;エアコン
Sofa;ソファ
TV;テレビ
Bed;ベッド
Card;カード
Plate;さら
