to buy;(を) かいます
to use;(を) つかいます
to meet;(と) あいます
to make;(を) つくります
to come back;(に) かえります
take a bath;おふろ に はいります
enter something;(に) はいります
take a photo;しゃしん を とります
to take;(を) とります
to send vegetables to Patrycja;パトリシアさん に やさい を おくります
to send;(を) おくります
to drink;(を) のみます
to read;(を) よみます
to rest;(x) やすみます
to play (bawic sie);(x) あそびます
to listen;(を) ききます
to write;(を) かきます
to play instrument (string);(を) ひきます
to swim;(x) およぎます
to talk;(と) はなします
to go;(に) いきます
to eat;(を) たべます
to watch;(を) みます
to teach Patrycja japanese;パトリシアさん に にほんご を おしえます
to teach;(を) おしえます
to take a shower;シャワー を あびます
to fall from above;(を) あびます
to wake up;(x) おきます
to sleep;(x) ねます
to wear (chest);(を) きます
(friends) to come;(ともだち が) きます
friend is coming to school;ともだち が がっこ に きます
to learn japanese;にほんご を べんきょうします
to work;しごと を します
to cook;りょうり を します
cook pierogi;ピエロギ を つくります
to do sport;スポーツ を します
take a walk;さんぽ を します
do shopping;かいもの を します
to buy fish;さかな を かいます
do house work;かじ を します
to train;うんどう を します
